Geolocation,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
..Aklan,71996796.73,82736002.43,91214647.77,63578606.28,69677343.4,73858140.95
..Antique,125519585.25,96347744.99,98626947.3,70692390.03,72534479.85,75748060.73
..Capiz,81892292.65,92120698.25,101233763.81,74384424.49,79634922.63,83577782.12
..Guimaras,18749760.45,21464548.08,22992460.81,16137640.99,17459577.26,18149015.56
..Iloilo,228762637.72,252930555.74,272000932.26,206013397.16,215784256.96,218856154.72
..City of Iloilo,164547057.56,191199733.52,210972094.58,145071807.81,160196161.51,171574518.68
Negros Island Region (NIR),643184669.19,737669188.43,806010141.93,557728664.21,601017284.24,636368330.45
..Negros Occidental,287751470.59,328058713.59,355181024.57,246419313.39,263757158.51,277191994.38
..Negros Oriental,186829516.43,213094506.56,231412488.98,166453148.93,178408318.66,188030070.64
..Siquijor,13629065.07,15382446.18,17419640.97,12017727.5,12764994.36,13776763.13
..City of Bacolod,154974617.1,181133522.09,201996987.41,132838474.39,146086812.71,157369502.31
Region VII (Central Visayas),1206031058.09,1353541397.35,1491366498.49,1108967232.95,1189558772.58,1276347866.72
..Bohol,189720409.34,215682236.44,242844364.85,171083003.53,182224600.78,198294135.3
..Cebu,430768845.49,476802103.57,520755271.37,388060279.51,411122356.6,441139743.78
..City of Cebu,305570606.2,344107621.17,381306662.08,288769438.8,312617466.53,334479101.11
..City of Lapu-Lapu,163847733.89,186979394.81,202723081.25,151438081.02,165628207.77,176358924.81
..City of Mandaue,116123463.17,129970041.35,143737118.93,109616430.09,117966140.9,126075961.72
Region VIII (Eastern Visayas),512826609.12,567729652.41,621904785.5,492180253.98,523223162.28,555624455.59
..Biliran,18458068.04,20420800.45,22645923.76,16185221.54,17250312.66,18294936.11
..Eastern Samar,38694714.81,44074115.45,49958795.8,33975591.38,36681954.76,40415314.95
..Leyte,233606330.12,259460992.68,282616658.31,245338874.42,260896130.16,275989107.22
..Northern Samar,49237879.05,52378622.51,56376674.45,44315596.25,45920379.8,47486454.73
..Samar,65622309.73,72298109.6,78847670.93,57827401.4,61308408.42,64501619.7
..Southern Leyte,48747780.23,54110440.54,59570310.63,42998161.02,46101110.69,49356472.54
..City of Tacloban,58459527.13,64986571.18,71888751.63,51539407.97,55064865.8,59580550.33
Region IX (Zamboanga Peninsula),490181435.8,531513039.26,582571224.86,427670776.89,446794798.2,465696349.27
..Zamboanga del Norte,134000836.34,145472132.08,159579910.77,114579458.87,120208779.27,124888543.97
..Zamboanga del Sur,113923617.61,124983043.88,137981225.58,101501662.1,106486698.21,111620079.01
..Zamboanga Sibugay,69252626.52,75384497.12,82252685.68,60373094.92,63762916.19,65214497.95
..City of Isabela,13114570.59,14265282.16,15231487.01,11757001.67,12110105.71,12647037.02
..City of Zamboanga,159889784.75,171408084.02,187525915.83,139459559.33,144226298.81,151326191.32
Region X (Northern Mindanao),1070791029.11,1182241556.3,1273436870.14,935273521.23,984166833.42,1043493796.17
..Bukidnon,298256116.68,328565375.79,338373828.47,248733587.79,257982559.79,267770607.86
..Camiguin,13005535.67,14888344.61,16433703.25,11103915.49,12311104.94,13373340.39
..Lanao del Norte,69154032.46,73581686.91,78650885.6,59841585.53,61065379.34,64291560.47
..Misamis Occidental,134733720.04,150476557.49,166308712.72,119368816.13,127214215.86,136766538.85
..Misamis Oriental,178815706.85,199625033.38,215082643.51,157431162.49,167414351.51,177217192.15
..City of Cagayan de Oro,289774927.26,320042939.46,353454955.88,261782650.12,276796015.53,295566103.63
..City of Iligan,87050990.14,95061618.66,105132140.71,77011803.66,81383206.44,88508452.83
Region XI (Davao Region),1096004125,1255297156.45,1376650875.6,954232421.39,1018227414.1,1082492455.43
..Davao de Oro,110762421.98,131020221.85,139670464.38,93104640.17,98809516.08,101890070.86
..Davao del Norte,201314497.38,237463537.29,250663704.85,168662146.28,178751162.83,188456185.65
..Davao del Sur,122819725.6,137712818.07,147569495.29,103709278.12,110465767.8,115847892.46
..Davao Occidental,43463409.6,47339642.43,51994926.39,37907219.94,39671199.16,41237885.75
..Davao Oriental,63389015.63,69608726.23,77191056.65,55452204.73,58005562.57,60344965.98
..City of Davao,554255054.8,632152210.58,709561228.04,495396932.15,532524205.65,574715454.73
Region XII (SOCCSKSARGEN),564300354.62,623494549.77,675617883.26,503656062.81,521362109.51,550076309.68
..Cotabato,135225546.38,153975620.02,164660174.85,120333596.77,125744807.54,131228987.98
..Sarangani,55520338.75,60334228.86,67333780.94,47954687.14,49732938.11,52657598.25
