Geolocation,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
..Bohol,135975.34,154400.52,171897.71,122617.64,130449.19,140362.77
..Cebu,125797.67,137253.67,153139.8,113325.47,118346.91,129727.07
..City of Cebu,316544.9,355955.6,395000.54,299140.34,323381.21,346491.26
..City of Lapu-Lapu,312049.91,347083.43,407227.38,288415.58,307449.95,354267.42
..City of Mandaue,319399.57,357416.99,394359.99,301501.87,324406.32,345904.49
Region VIII (Eastern Visayas),111389.75,122447.1,134438.9,106905.21,112848.01,120110.89
..Biliran,101678.3,111702.61,123012.16,89158.07,94359.91,99377.69
..Eastern Samar,80035.73,90491.23,105691.97,70274.75,75313.94,85501.94
..Leyte,129249.43,142239.46,154989.4,135740.8,143026.22,151354.79
..Northern Samar,76441.14,80920.37,87298.91,68799.36,70942.95,73532.46
..Samar,82157.9,90105.03,97804.17,72398.82,76408.58,80009.05
..Southern Leyte,112810.23,124713.2,137141.23,99504.68,106253.38,113627.2
..City of Tacloban,227911.5,250906.62,277184.96,200932.58,212599.91,229727.63
Region IX (Zamboanga Peninsula),123939.87,133022.52,147716.86,108134.37,111819.97,118082.05
..Zamboanga del Norte,126480.56,136475.27,149550.04,108149.13,112774.36,117039.08
..Zamboanga del Sur,107170.28,116845.13,132023.53,95484.69,99553.12,106800.6
..Zamboanga Sibugay,101178.93,108954.3,124343.06,88205.83,92157.46,98586.08
..City of Isabela,95281.68,100998.87,100672.76,85418.5,85740.12,83590.8
..City of Zamboanga,158240.29,166908.4,184056.63,138020.83,140440.17,148526.61
Region X (Northern Mindanao),209227.88,228904.98,245916.71,182748.35,190553.85,201511.8
..Bukidnon,189332.66,206387.36,211232.54,157895.81,162050.98,167157.92
..Camiguin,139165.1,158729.43,173183.23,118816.91,131252.65,140932.22
..Lanao del Norte,93545.45,98466.81,103253.65,80948.39,81717.52,84402.59
..Misamis Occidental,217612.9,242602,267380.36,192796.53,205097.88,219884.37
..Misamis Oriental,183187.66,202542.25,217680.66,161280.28,169860.86,179357.83
..City of Cagayan de Oro,387580.47,422746.16,476600.4,350140.17,365621.1,398542.78
..City of Iligan,237273.09,257759.27,285582.73,209909.49,220670.3,240425.86
Region XI (Davao Region),204950.61,232475.44,255435.72,178439.58,188571.18,200855.02
..Davao de Oro,143056.77,168443.69,178202.24,120250.62,127032.6,129999.13
..Davao del Norte,174968.45,204140.46,219124.85,146589.31,153667.15,164744.36
..Davao del Sur,176676.32,196041.13,209280.14,149185.92,157253.58,164293.19
..Davao Occidental,136854.7,148880.85,163713.02,119359.74,124763.97,129843.03
..Davao Oriental,109101.23,119291.28,130822.99,95440.89,99406.47,102272.32
..City of Davao,303028.59,340842.4,383765.04,270849.01,287125.19,310833.93
Region XII (SOCCSKSARGEN),126663.33,138471.08,151389.6,113051.07,115788.62,123258.78
