year,direction,country,value_usd
2008,Exports,SWEDEN,434729
2008,Exports,POLAND,395725
2008,Exports,SAUDI ARABIA,245801
2008,Exports,TURKEY,240821
2008,Exports,COSTA RICA,217186
2008,Exports,BURUNDI,198970
2008,Exports,FINLAND,188745
2008,Exports,ROMANIA,187008
2008,Exports,MOROCCO,177039
2008,Exports,ITALY,166718
2008,Exports,PORTUGAL,115940
2008,Exports,"SOUTH AFRICA, REP. OF",102082
2008,Exports,LIECHTENSTEIN,101986
2008,Exports,ARGENTINA,76758
2008,Exports,LESOTHO,44744
2008,Exports,SLOVAKIA,43879
2008,Exports,GEORGIA,17323
2008,Exports,NEPAL,15325
2008,Exports,IRELAND,12051
2008,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),11380
2008,Exports,BULGARIA,9233
2008,Exports,BANGLADESH,9120
2008,Exports,VIRGIN ISLANDS (BRITISH),7258
2008,Exports,VIETNAM,7253
2008,Exports,SLOVENIA,4950
2008,Exports,COLOMBIA,3561
2008,Exports,DENMARK,2420
2008,Exports,"PAKISTAN, ISLAMIC REP. OF",1616
2008,Exports,SWAZILAND,1187
2008,Exports,UKRAINE (UKRAINIAN S.S.R.),1073
2008,Exports,NORWAY,964
2008,Exports,EGYPT ARAB REPUBLIC,836
2008,Exports,NIGER,616
2008,Exports,MACAU,482
2008,Exports,JORDAN,431
2008,Exports,PERU,365
2008,Exports,BOLIVIA,333
2008,Exports,RUSSIA,280
2008,Exports,GREECE,273
2008,Exports,LITHUANIA,270
2008,Exports,ETHIOPIA,113
2008,Exports,TUNISIA,81
2008,Exports,"JAMAICA (EXCLUDES CAYMAN IS.,TURKS,CAICOS)",46
2008,Exports,MONGOLIA,40
2008,Exports,PARAGUAY,29
2008,Imports,UNITED STATES,1941243670
2008,Imports,TAIWAN,881372561
2008,Imports,JAPAN,876498165
2008,Imports,SINGAPORE,544301732
2008,Imports,"KOREA, REP. (SOUTH)",477178527
2008,Imports,CHINA,354725943
2008,Imports,NETHERLANDS,178263658
2008,Imports,MALAYSIA,167835259
2008,Imports,GERMANY,128109489
2008,Imports,FRANCE,114352938
2008,Imports,HONG KONG,91169751
2008,Imports,UNITED KINGDOM,90820930
2008,Imports,THAILAND,57530143
2008,Imports,FINLAND,15111334
2008,Imports,INDONESIA,5076969
2008,Imports,ISRAEL,4189929
2008,Imports,MEXICO,2979404
2008,Imports,CANADA,2875407
2008,Imports,IRELAND,2686372
2008,Imports,"SOUTH AFRICA, REP. OF",2243776
2008,Imports,DENMARK,2057057
2008,Imports,BELGIUM,1998363
2008,Imports,SWITZERLAND,1696248
2008,Imports,AUSTRIA,1462597
2008,Imports,ITALY,1157170
2008,Imports,HUNGARY,1002898
2008,Imports,AUSTRALIA,993480
2008,Imports,CZECH REPUBLIC,805197
2008,Imports,VIETNAM,701023
2008,Imports,INDIA,347949
2008,Imports,UNITED ARAB EMIRATES,241274
2008,Imports,NIGER,229678
2008,Imports,COSTA RICA,227239
2008,Imports,SPAIN,206247
2008,Imports,SWEDEN,145224
2008,Imports,NEPAL,96935
2008,Imports,BRAZIL,89549
2008,Imports,SLOVAKIA,74138
2008,Imports,CROATIA,55794
2008,Imports,NORWAY,55467
2008,Imports,SRI LANKA (CEYLON),49964
2008,Imports,AFGHANISTAN,31723
2008,Imports,LUXEMBOURG,19303
2008,Imports,MACAU,10813
2008,Imports,PORTUGAL,3556
2008,Imports,PACIFIC TRUST TERRITORY,3062
2008,Imports,RUSSIA,2301
2008,Imports,GREECE,1605
2008,Imports,PERU,1493
2008,Imports,ROMANIA,1084
2008,Imports,ESTONIA,536
2008,Imports,ARGENTINA,513
2008,Imports,TURKEY,309
2009,Exports,NETHERLANDS,1989593022
2009,Exports,HONG KONG,1600233556
2009,Exports,GERMANY,854972109
2009,Exports,SINGAPORE,651505008
2009,Exports,JAPAN,616397949
2009,Exports,TAIWAN,358206041
2009,Exports,"KOREA, REP. (SOUTH)",217012917
2009,Exports,UNITED STATES,114011237
2009,Exports,CHINA,112976066
2009,Exports,THAILAND,50990110
2009,Exports,MALAYSIA,27656601
2009,Exports,INDIA,19451671
2009,Exports,FRANCE,13246380
2009,Exports,HUNGARY,11889389
2009,Exports,MEXICO,11754768
2009,Exports,UNITED KINGDOM,9843424
2009,Exports,INDONESIA,9123140
2009,Exports,ITALY,7596512
2009,Exports,SWITZERLAND,6175417
2009,Exports,BRAZIL,3736138
2009,Exports,FINLAND,2759341
2009,Exports,TURKEY,2535390
2009,Exports,VIETNAM,2465620
2009,Exports,SWEDEN,1828745
2009,Exports,CZECH REPUBLIC,1659607
2009,Exports,ANDORRA,1341393
2009,Exports,ISRAEL,1129242
2009,Exports,BELGIUM,1051461
2009,Exports,AUSTRIA,894017
2009,Exports,AUSTRALIA,697194
2009,Exports,POLAND,578486
2009,Exports,ROMANIA,541712
2009,Exports,PORTUGAL,433425
2009,Exports,SPAIN,210433
2009,Exports,ZIMBABWE (RHODESIA),210072
2009,Exports,CANADA,177225
2009,Exports,ESTONIA,101269
2009,Exports,IRELAND,51781
2009,Exports,BURUNDI,8879
2009,Exports,"SOUTH AFRICA, REP. OF",4430
2009,Exports,UGANDA,3777
2009,Exports,COLOMBIA,3494
2009,Exports,SAUDI ARABIA,3476
2009,Exports,ICELAND,2400
2009,Exports,VANUATU (NEW HEBRIDES),1838
2009,Exports,CUBA,1400
2009,Exports,UKRAINE (UKRAINIAN S.S.R.),816
2009,Exports,SRI LANKA (CEYLON),635
2009,Exports,GEORGIA,257
2009,Exports,NORWAY,76
2009,Exports,REUNION,63
2009,Exports,RUSSIA,59
2009,Exports,DENMARK,42
2009,Exports,"PAKISTAN, ISLAMIC REP. OF",38
2009,Exports,PARAGUAY,35
2009,Exports,CHILE,29
2009,Exports,LIECHTENSTEIN,28
2009,Imports,UNITED STATES,1712291544
2009,Imports,JAPAN,667986962
2009,Imports,TAIWAN,544622357
2009,Imports,SINGAPORE,519712753
2009,Imports,"KOREA, REP. (SOUTH)",485814409
2009,Imports,CHINA,255144916
2009,Imports,MALAYSIA,121068869
2009,Imports,FRANCE,117047798
2009,Imports,HONG KONG,88057870
2009,Imports,GERMANY,87724569
2009,Imports,NETHERLANDS,70577257
2009,Imports,THAILAND,45385448
2009,Imports,UNITED KINGDOM,45053712
2009,Imports,FINLAND,7745560
2009,Imports,INDONESIA,4954018
2009,Imports,MEXICO,3991097
2009,Imports,ISRAEL,3067741
2009,Imports,"SOUTH AFRICA, REP. OF",2705508
2009,Imports,NORWAY,2568064
2009,Imports,SWITZERLAND,1683835
2009,Imports,BELGIUM,1554789
2009,Imports,CZECH REPUBLIC,1300747
2009,Imports,VIETNAM,1013191
2009,Imports,HUNGARY,749569
2009,Imports,ITALY,727957
2009,Imports,IRELAND,577179
2009,Imports,DENMARK,504818
2009,Imports,INDIA,328122
2009,Imports,BRAZIL,305769
2009,Imports,SWEDEN,291785
2009,Imports,UNITED ARAB EMIRATES,251673
2009,Imports,BURUNDI,242944
2009,Imports,AUSTRIA,169151
2009,Imports,COSTA RICA,161029
2009,Imports,AUSTRALIA,135404
2009,Imports,CANADA,134205
2009,Imports,MACAU,99819
2009,Imports,SPAIN,86512
2009,Imports,MOROCCO,68643
