year,direction,country,mineral_type,value_usd
2007,Exports,TURKEY,"Salt, stone & earths (25)",44770
2007,Exports,SPAIN,"Lead, zinc & tin (78-80)",39722
2007,Exports,NETHERLANDS,Copper (74),35000
2007,Exports,UNITED ARAB EMIRATES,"Lead, zinc & tin (78-80)",32663
2007,Exports,ITALY,"Salt, stone & earths (25)",32388
2007,Exports,NETHERLANDS,"Salt, stone & earths (25)",31364
2007,Exports,UKRAINE,"Salt, stone & earths (25)",28800
2007,Exports,"MARSHALL ISLANDS, REP. OF",Mineral fuels (27),26337
2007,Exports,"PAKISTAN, ISLAMIC REP. OF",Mineral fuels (27),25527
2007,Exports,JAPAN,Nickel (75),24290
2007,Exports,NETHERLANDS,Metal ores & concentrates (26),20000
2007,Exports,SAUDI ARABIA,Copper (74),16858
2007,Exports,INDIA,Copper (74),16483
2007,Exports,ITALY,"Lead, zinc & tin (78-80)",15591
2007,Exports,GERMANY,Nickel (75),14546
2007,Exports,SAUDI ARABIA,"Salt, stone & earths (25)",13337
2007,Exports,VIETNAM,Metal ores & concentrates (26),13284
2007,Exports,CANADA,"Salt, stone & earths (25)",12463
2007,Exports,UNITED STATES,Gold (7108),12067
2007,Exports,UNITED ARAB EMIRATES,Copper (74),11128
2007,Exports,PAPUA NEW GUINEA,Mineral fuels (27),10987
2007,Exports,PACIFIC TRUST TERRITORY,"Lead, zinc & tin (78-80)",10225
2007,Exports,GREECE,"Lead, zinc & tin (78-80)",9602
2007,Exports,TAIWAN,Nickel (75),8775
2007,Exports,BELGIUM,"Lead, zinc & tin (78-80)",8668
2007,Exports,BAHRAIN,"Salt, stone & earths (25)",8640
2007,Exports,UNITED STATES,Metal ores & concentrates (26),8002
2007,Exports,"PALAU, REP. OF",Copper (74),6872
2007,Exports,INDIA,"Salt, stone & earths (25)",6812
2007,Exports,MALAYSIA,Nickel (75),6303
2007,Exports,GERMANY,Metal ores & concentrates (26),6000
2007,Exports,SRI LANKA (CEYLON),"Salt, stone & earths (25)",5998
2007,Exports,PORTUGAL,Gold (7108),5296
2007,Exports,KUWAIT,"Lead, zinc & tin (78-80)",5088
2007,Exports,BRAZIL,"Lead, zinc & tin (78-80)",4702
2007,Exports,"PALAU, REP. OF","Lead, zinc & tin (78-80)",4582
2007,Exports,UNITED ARAB EMIRATES,"Salt, stone & earths (25)",4368
2007,Exports,PACIFIC TRUST TERRITORY,Copper (74),3000
2007,Exports,"PALAU, REP. OF",Mineral fuels (27),2916
2007,Exports,NORWAY,"Lead, zinc & tin (78-80)",2242
2007,Exports,UNITED KINGDOM,"Lead, zinc & tin (78-80)",2150
2007,Exports,UNITED KINGDOM,Copper (74),1150
