year,direction,country,mineral_type,value_usd
2012,Exports,TURKEY,"Salt, stone & earths (25)",400
2012,Exports,FRANCE,Mineral fuels (27),335
2012,Exports,UNITED ARAB EMIRATES,"Salt, stone & earths (25)",326
2012,Exports,CAMBODIA,"Salt, stone & earths (25)",226
2012,Exports,UNITED STATES,Nickel (75),225
2012,Exports,"MICRONESIA, FEDERATED STATES OF","Lead, zinc & tin (78-80)",222
2012,Exports,"MICRONESIA, FEDERATED STATES OF",Mineral fuels (27),164
2012,Exports,MALAYSIA,Nickel (75),120
2012,Exports,FINLAND,"Lead, zinc & tin (78-80)",100
2012,Imports,SAUDI ARABIA,Mineral fuels (27),3420210615
2012,Imports,TAIWAN,Mineral fuels (27),1945376610
2012,Imports,UNITED ARAB EMIRATES,Mineral fuels (27),1914570521
2012,Imports,"KOREA, REP. (SOUTH)",Mineral fuels (27),1781144301
2012,Imports,SINGAPORE,Mineral fuels (27),1019538149
2012,Imports,RUSSIA,Mineral fuels (27),899669736
2012,Imports,INDONESIA,Mineral fuels (27),875542757
2012,Imports,QATAR,Mineral fuels (27),640781783
2012,Imports,CHINA,Mineral fuels (27),526690922
2012,Imports,THAILAND,Mineral fuels (27),508335093
2012,Imports,MALAYSIA,Mineral fuels (27),382245294
2012,Imports,AUSTRALIA,Metal ores & concentrates (26),261351018
2012,Imports,INDONESIA,Metal ores & concentrates (26),190120322
2012,Imports,IRAN,Metal ores & concentrates (26),140744123
2012,Imports,PAPUA NEW GUINEA,Metal ores & concentrates (26),128710826
2012,Imports,IRAN,Mineral fuels (27),122611679
2012,Imports,AUSTRALIA,Copper (74),98880184
2012,Imports,HONG KONG,Mineral fuels (27),86373614
2012,Imports,JAPAN,Mineral fuels (27),82172241
2012,Imports,JAPAN,Gold (7108),81333900
2012,Imports,TAIWAN,Copper (74),75042326
2012,Imports,"KOREA, REP. (SOUTH)",Copper (74),71229501
2012,Imports,ARGENTINA,Metal ores & concentrates (26),63729592
2012,Imports,BAHRAIN,Mineral fuels (27),62289244
2012,Imports,INDONESIA,Copper (74),48274089
2012,Imports,BRUNEI DARUSSALAM,Mineral fuels (27),46437741
2012,Imports,VIETNAM,"Salt, stone & earths (25)",45844082
2012,Imports,EGYPT ARAB REPUBLIC,"Salt, stone & earths (25)",37815880
2012,Imports,JAPAN,Copper (74),36282779
2012,Imports,MALAYSIA,"Salt, stone & earths (25)",32161503
2012,Imports,CANADA,Metal ores & concentrates (26),30227717
2012,Imports,CHINA,"Salt, stone & earths (25)",28860300
2012,Imports,MALAYSIA,Gold (7108),28532756
2012,Imports,PERU,Metal ores & concentrates (26),21868089
2012,Imports,"KOREA, REP. (SOUTH)","Lead, zinc & tin (78-80)",21561897
2012,Imports,AUSTRALIA,"Salt, stone & earths (25)",20319146
2012,Imports,AUSTRALIA,Mineral fuels (27),19171226
2012,Imports,MOROCCO,"Salt, stone & earths (25)",18617084
2012,Imports,CHINA,Copper (74),17891639
2012,Imports,THAILAND,"Salt, stone & earths (25)",17609664
2012,Imports,THAILAND,Copper (74),16582228
2012,Imports,MALAYSIA,Copper (74),16262197
2012,Imports,UNITED STATES,Mineral fuels (27),15364467
2012,Imports,KUWAIT,Mineral fuels (27),14418128
2012,Imports,SINGAPORE,Gold (7108),13051896
2012,Imports,VIETNAM,Mineral fuels (27),12705873
2012,Imports,JORDAN,"Salt, stone & earths (25)",12663363
2012,Imports,HONG KONG,Copper (74),11861930
2012,Imports,"KOREA, REP. (SOUTH)","Salt, stone & earths (25)",11276312
2012,Imports,JAPAN,"Lead, zinc & tin (78-80)",11178735
2012,Imports,UNITED STATES,"Salt, stone & earths (25)",9290240
2012,Imports,OMAN,Mineral fuels (27),8194139
2012,Imports,MEXICO,Mineral fuels (27),8014640
2012,Imports,NIGERIA,Mineral fuels (27),7912462
2012,Imports,SINGAPORE,"Salt, stone & earths (25)",7359206
2012,Imports,TAIWAN,"Lead, zinc & tin (78-80)",7244701
2012,Imports,KUWAIT,"Salt, stone & earths (25)",6766748
2012,Imports,JAPAN,"Salt, stone & earths (25)",6758352
2012,Imports,MALAYSIA,"Lead, zinc & tin (78-80)",5998335
2012,Imports,SINGAPORE,Copper (74),5364272
2012,Imports,INDIA,Mineral fuels (27),5282344
2012,Imports,PERU,"Salt, stone & earths (25)",4984877
2012,Imports,UNITED ARAB EMIRATES,Copper (74),4578533
2012,Imports,JAPAN,Metal ores & concentrates (26),3911597
2012,Imports,TAIWAN,"Salt, stone & earths (25)",3671138
2012,Imports,UNITED STATES,Copper (74),3323460
2012,Imports,HONG KONG,"Lead, zinc & tin (78-80)",3298990
2012,Imports,INDONESIA,"Salt, stone & earths (25)",2953853
2012,Imports,INDIA,Copper (74),2802792
2012,Imports,"KOREA, REP. (SOUTH)",Gold (7108),2616059
2012,Imports,UNITED STATES,Metal ores & concentrates (26),2603329
2012,Imports,AUSTRALIA,Nickel (75),2545680
2012,Imports,PAPUA NEW GUINEA,Mineral fuels (27),2394659
2012,Imports,SINGAPORE,"Lead, zinc & tin (78-80)",2350148
2012,Imports,GERMANY,Copper (74),2199418
2012,Imports,SAUDI ARABIA,Copper (74),2099455
2012,Imports,UNITED KINGDOM,Copper (74),1793112
2012,Imports,INDIA,"Salt, stone & earths (25)",1764991
2012,Imports,CHINA,"Lead, zinc & tin (78-80)",1706777
2012,Imports,CANADA,"Lead, zinc & tin (78-80)",1702505
2012,Imports,THAILAND,Metal ores & concentrates (26),1475814
2012,Imports,AUSTRALIA,"Lead, zinc & tin (78-80)",1452858
2012,Imports,UNITED STATES,"Lead, zinc & tin (78-80)",1311763
2012,Imports,UNITED ARAB EMIRATES,"Lead, zinc & tin (78-80)",1235805
2012,Imports,SWITZERLAND,"Lead, zinc & tin (78-80)",1176630
2012,Imports,VIETNAM,"Lead, zinc & tin (78-80)",1105170
2012,Imports,VIETNAM,Copper (74),1067711
2012,Imports,TAIWAN,Gold (7108),1039375
2012,Imports,GERMANY,"Lead, zinc & tin (78-80)",944216
2012,Imports,AUSTRIA,Copper (74),887089
2012,Imports,HONG KONG,"Salt, stone & earths (25)",870757
2012,Imports,FRANCE,Mineral fuels (27),823294
2012,Imports,UNITED STATES,Gold (7108),782302
2012,Imports,BULGARIA,Copper (74),776678
2012,Imports,SINGAPORE,Nickel (75),758253
2012,Imports,INDIA,Metal ores & concentrates (26),699859
2012,Imports,GERMANY,Mineral fuels (27),676033
2012,Imports,UNITED KINGDOM,"Salt, stone & earths (25)",632615
2012,Imports,ITALY,Copper (74),620542
2012,Imports,JAPAN,Nickel (75),538024
2012,Imports,SWEDEN,Mineral fuels (27),531649
2012,Imports,TAIWAN,Metal ores & concentrates (26),462539
2012,Imports,CHINA,Metal ores & concentrates (26),452766
2012,Imports,CANADA,Nickel (75),409129
2012,Imports,"PAKISTAN, ISLAMIC REP. OF",Copper (74),406923
2012,Imports,GERMANY,Gold (7108),400122
2012,Imports,TAIWAN,Nickel (75),396370
2012,Imports,BRAZIL,"Salt, stone & earths (25)",382165
2012,Imports,"SOUTH AFRICA, REP. OF",Mineral fuels (27),325839
2012,Imports,FRANCE,"Salt, stone & earths (25)",313476
2012,Imports,THAILAND,"Lead, zinc & tin (78-80)",305683
2012,Imports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),"Salt, stone & earths (25)",287650
2012,Imports,GERMANY,"Salt, stone & earths (25)",269457
2012,Imports,INDIA,"Lead, zinc & tin (78-80)",255355
2012,Imports,NETHERLANDS,"Salt, stone & earths (25)",254257
2012,Imports,LUXEMBOURG,Copper (74),251896
2012,Imports,BRAZIL,Metal ores & concentrates (26),236913
2012,Imports,CHINA,Nickel (75),224129
2012,Imports,MEXICO,Copper (74),222675
2012,Imports,ISRAEL,"Salt, stone & earths (25)",213163
2012,Imports,HONG KONG,Nickel (75),205067
2012,Imports,"KOREA, REP. (SOUTH)",Nickel (75),204270
2012,Imports,CANADA,Copper (74),203859
2012,Imports,CHILE,Copper (74),184522
2012,Imports,NETHERLANDS,Mineral fuels (27),171231
2012,Imports,FRANCE,Copper (74),168106
2012,Imports,COLOMBIA,Copper (74),163150
2012,Imports,BELGIUM,Metal ores & concentrates (26),157662
2012,Imports,AUSTRALIA,Gold (7108),154067
2012,Imports,BELGIUM,Mineral fuels (27),145834
2012,Imports,SUDAN,Copper (74),133030
2012,Imports,SWITZERLAND,Gold (7108),103181
2012,Imports,GERMANY,Nickel (75),98914
2012,Imports,SPAIN,Copper (74),98873
2012,Imports,BELGIUM,Copper (74),98325
2012,Imports,DENMARK,Copper (74),93752
2012,Imports,CANADA,"Salt, stone & earths (25)",84463
2012,Imports,AUSTRIA,"Salt, stone & earths (25)",72730
2012,Imports,UNITED STATES,Nickel (75),71793
2012,Imports,SINGAPORE,Metal ores & concentrates (26),70037
2012,Imports,SWITZERLAND,Mineral fuels (27),66069
2012,Imports,VIETNAM,Nickel (75),62173
2012,Imports,UNITED KINGDOM,Mineral fuels (27),58561
2012,Imports,NIGERIA,"Lead, zinc & tin (78-80)",57708
2012,Imports,THAILAND,Nickel (75),56095
2012,Imports,BELGIUM,"Salt, stone & earths (25)",54772
2012,Imports,GERMANY,Metal ores & concentrates (26),51376
2012,Imports,SWEDEN,Gold (7108),50648
2012,Imports,FINLAND,"Salt, stone & earths (25)",48730
2012,Imports,MAURITIUS,Mineral fuels (27),35187
2012,Imports,SWITZERLAND,Copper (74),26967
2012,Imports,SWITZERLAND,"Salt, stone & earths (25)",26585
2012,Imports,"SOUTH AFRICA, REP. OF","Salt, stone & earths (25)",25485
2012,Imports,INDONESIA,"Lead, zinc & tin (78-80)",22663
2012,Imports,TURKEY,"Salt, stone & earths (25)",21191
2012,Imports,THAILAND,Gold (7108),20141
2012,Imports,NETHERLANDS,Copper (74),17265
2012,Imports,HUNGARY,"Lead, zinc & tin (78-80)",14609
2012,Imports,ITALY,Mineral fuels (27),11868
2012,Imports,VIETNAM,Gold (7108),10824
2012,Imports,MEXICO,"Salt, stone & earths (25)",9578
2012,Imports,SLOVENIA,"Lead, zinc & tin (78-80)",8971
2012,Imports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),"Lead, zinc & tin (78-80)",8235
2012,Imports,POLAND,Mineral fuels (27),7702
2012,Imports,POLAND,"Lead, zinc & tin (78-80)",7353
2012,Imports,UNITED KINGDOM,"Lead, zinc & tin (78-80)",7267
2012,Imports,SPAIN,"Salt, stone & earths (25)",6659
2012,Imports,ITALY,"Salt, stone & earths (25)",6303
2012,Imports,SWEDEN,Copper (74),6174
2012,Imports,"KOREA, REP. (SOUTH)",Metal ores & concentrates (26),5519
2012,Imports,EGYPT ARAB REPUBLIC,Mineral fuels (27),5265
2012,Imports,"PAKISTAN, ISLAMIC REP. OF","Salt, stone & earths (25)",5229
2012,Imports,CANADA,Mineral fuels (27),4204
2012,Imports,DENMARK,Mineral fuels (27),3345
2012,Imports,HONG KONG,Gold (7108),3018
2012,Imports,SWEDEN,Metal ores & concentrates (26),2953
2012,Imports,BRAZIL,Mineral fuels (27),2903
2012,Imports,NETHERLANDS,"Lead, zinc & tin (78-80)",2692
2012,Imports,ISRAEL,Mineral fuels (27),1878
2012,Imports,INDIA,Nickel (75),1839
2012,Imports,SWITZERLAND,Metal ores & concentrates (26),1726
2012,Imports,BELGIUM,"Lead, zinc & tin (78-80)",1186
2012,Imports,ITALY,"Lead, zinc & tin (78-80)",1075
2012,Imports,FINLAND,Copper (74),1053
2012,Imports,SPAIN,Nickel (75),1015
2012,Imports,BRAZIL,Copper (74),995
2012,Imports,FRANCE,"Lead, zinc & tin (78-80)",472
2012,Imports,TURKEY,Copper (74),335
2012,Imports,CZECH REPUBLIC,"Salt, stone & earths (25)",153
2013,Exports,CHINA,Metal ores & concentrates (26),995601873
2013,Exports,"KOREA, REP. (SOUTH)",Mineral fuels (27),738793980
2013,Exports,JAPAN,Metal ores & concentrates (26),727246834
2013,Exports,SINGAPORE,Mineral fuels (27),479255984
2013,Exports,CHINA,Copper (74),392759069
2013,Exports,"KOREA, REP. (SOUTH)",Metal ores & concentrates (26),237123267
2013,Exports,CHINA,Mineral fuels (27),229689956
2013,Exports,MALAYSIA,Mineral fuels (27),216513947
2013,Exports,"KOREA, REP. (SOUTH)",Copper (74),196317388
2013,Exports,SWITZERLAND,Gold (7108),194991023
2013,Exports,JAPAN,Copper (74),180400389
2013,Exports,THAILAND,Mineral fuels (27),124274794
2013,Exports,HONG KONG,Mineral fuels (27),121705026
2013,Exports,UNITED STATES,Metal ores & concentrates (26),74934874
2013,Exports,UNITED STATES,Mineral fuels (27),74761343
2013,Exports,MALAYSIA,Copper (74),73380479
2013,Exports,INDONESIA,Mineral fuels (27),72245426
2013,Exports,TAIWAN,Copper (74),71737429
2013,Exports,INDONESIA,Metal ores & concentrates (26),60372040
2013,Exports,HONG KONG,Copper (74),48018935
2013,Exports,HONG KONG,Gold (7108),47956284
2013,Exports,TAIWAN,Mineral fuels (27),46041217
2013,Exports,TAIWAN,Gold (7108),42665635
2013,Exports,AUSTRALIA,Metal ores & concentrates (26),33183937
2013,Exports,JAPAN,Gold (7108),32273663
2013,Exports,TAIWAN,Metal ores & concentrates (26),28325996
2013,Exports,JAPAN,Mineral fuels (27),22416557
2013,Exports,JAPAN,Nickel (75),19363341
2013,Exports,SWITZERLAND,Metal ores & concentrates (26),18937038
2013,Exports,OMAN,Metal ores & concentrates (26),11372511
2013,Exports,CHINA,Gold (7108),10235133
2013,Exports,HONG KONG,Metal ores & concentrates (26),10025509
2013,Exports,PAPUA NEW GUINEA,Metal ores & concentrates (26),9780000
2013,Exports,THAILAND,Copper (74),8686839
2013,Exports,TAIWAN,"Lead, zinc & tin (78-80)",8661784
2013,Exports,AUSTRALIA,Gold (7108),8097706
2013,Exports,TAIWAN,"Salt, stone & earths (25)",6909280
2013,Exports,MALAYSIA,"Lead, zinc & tin (78-80)",6632878
2013,Exports,"KOREA, REP. (SOUTH)","Lead, zinc & tin (78-80)",6239573
2013,Exports,VIETNAM,Copper (74),5869395
2013,Exports,THAILAND,"Lead, zinc & tin (78-80)",5763360
2013,Exports,INDIA,Mineral fuels (27),5685875
2013,Exports,MALAYSIA,Gold (7108),4602364
2013,Exports,AUSTRALIA,Mineral fuels (27),4170753
2013,Exports,INDONESIA,Copper (74),4013671
2013,Exports,JAPAN,"Salt, stone & earths (25)",3889468
2013,Exports,CHINA,"Salt, stone & earths (25)",3795048
2013,Exports,JAPAN,"Lead, zinc & tin (78-80)",3664679
2013,Exports,SINGAPORE,"Salt, stone & earths (25)",2635916
2013,Exports,VIETNAM,Metal ores & concentrates (26),2350507
2013,Exports,"KOREA, DPR (NORTH)",Copper (74),2304756
2013,Exports,INDIA,"Salt, stone & earths (25)",2116061
2013,Exports,SINGAPORE,"Lead, zinc & tin (78-80)",1818432
2013,Exports,"MICRONESIA, FEDERATED STATES OF","Salt, stone & earths (25)",1785401
2013,Exports,SINGAPORE,Copper (74),1733863
2013,Exports,PANAMA,Metal ores & concentrates (26),1343100
2013,Exports,INDONESIA,"Salt, stone & earths (25)",1139042
2013,Exports,UNITED STATES,Copper (74),1100095
2013,Exports,NEW CALEDONIA,"Salt, stone & earths (25)",915696
2013,Exports,MYANMAR,Copper (74),764806
2013,Exports,UNITED STATES,"Salt, stone & earths (25)",757524
2013,Exports,CHINA,Nickel (75),651276
2013,Exports,UNITED STATES,"Lead, zinc & tin (78-80)",561677
2013,Exports,INDIA,"Lead, zinc & tin (78-80)",532055
2013,Exports,SINGAPORE,Metal ores & concentrates (26),429806
2013,Exports,"KOREA, DPR (NORTH)","Lead, zinc & tin (78-80)",407790
2013,Exports,AUSTRALIA,"Lead, zinc & tin (78-80)",385214
2013,Exports,"KOREA, REP. (SOUTH)","Salt, stone & earths (25)",354026
2013,Exports,PAPUA NEW GUINEA,"Lead, zinc & tin (78-80)",306084
2013,Exports,CHINA,"Lead, zinc & tin (78-80)",296641
2013,Exports,PAPUA NEW GUINEA,"Salt, stone & earths (25)",296501
2013,Exports,SOLOMON ISLANDS (BRITISH),"Salt, stone & earths (25)",280000
2013,Exports,CZECH REPUBLIC,Copper (74),276763
2013,Exports,MALAYSIA,Metal ores & concentrates (26),237990
2013,Exports,"KOREA, REP. (SOUTH)",Nickel (75),233687
2013,Exports,BELGIUM,Mineral fuels (27),207286
2013,Exports,SAUDI ARABIA,Mineral fuels (27),203564
2013,Exports,INDONESIA,"Lead, zinc & tin (78-80)",180165
2013,Exports,HUNGARY,Copper (74),177866
2013,Exports,CAMBODIA,Mineral fuels (27),167313
2013,Exports,PAPUA NEW GUINEA,Mineral fuels (27),160785
2013,Exports,MALAYSIA,"Salt, stone & earths (25)",158931
2013,Exports,THAILAND,"Salt, stone & earths (25)",130538
2013,Exports,VIETNAM,"Salt, stone & earths (25)",130102
2013,Exports,CZECH REPUBLIC,"Lead, zinc & tin (78-80)",122647
2013,Exports,ITALY,"Lead, zinc & tin (78-80)",122445
2013,Exports,BANGLADESH,"Salt, stone & earths (25)",119600
2013,Exports,THAILAND,Gold (7108),103383
2013,Exports,UNITED ARAB EMIRATES,Mineral fuels (27),95366
2013,Exports,HONG KONG,"Salt, stone & earths (25)",89554
2013,Exports,GERMANY,"Salt, stone & earths (25)",66966
2013,Exports,FIJI,Mineral fuels (27),60876
2013,Exports,NEW ZEALAND,Mineral fuels (27),57237
2013,Exports,GERMANY,Copper (74),55685
2013,Exports,FRANCE,"Salt, stone & earths (25)",45620
2013,Exports,VIETNAM,Mineral fuels (27),41382
2013,Exports,AUSTRALIA,Copper (74),37278
2013,Exports,HONG KONG,"Lead, zinc & tin (78-80)",37143
2013,Exports,"SOUTH AFRICA, REP. OF","Lead, zinc & tin (78-80)",36703
2013,Exports,ST. VINCENT AND GRENADINES,"Salt, stone & earths (25)",32841
2013,Exports,PACIFIC TRUST TERRITORY,Mineral fuels (27),31031
2013,Exports,TURKEY,"Salt, stone & earths (25)",31004
2013,Exports,NORTHERN MARIANA ISLANDS,Mineral fuels (27),30969
2013,Exports,NETHERLANDS,"Salt, stone & earths (25)",30063
2013,Exports,AUSTRIA,"Lead, zinc & tin (78-80)",27092
2013,Exports,BELGIUM,"Salt, stone & earths (25)",26656
2013,Exports,GERMANY,Nickel (75),25792
2013,Exports,SPAIN,"Lead, zinc & tin (78-80)",23823
2013,Exports,UNITED KINGDOM,Copper (74),23179
2013,Exports,INDIA,Copper (74),21911
2013,Exports,BELGIUM,Copper (74),20339
2013,Exports,BRAZIL,"Salt, stone & earths (25)",14966
2013,Exports,UNITED KINGDOM,"Lead, zinc & tin (78-80)",13673
2013,Exports,UNITED STATES,Gold (7108),11880
2013,Exports,THAILAND,Metal ores & concentrates (26),11580
2013,Exports,"KOREA, DPR (NORTH)","Salt, stone & earths (25)",10607
2013,Exports,POLAND,"Lead, zinc & tin (78-80)",8910
2013,Exports,"PAKISTAN, ISLAMIC REP. OF","Salt, stone & earths (25)",8690
2013,Exports,GUINEA,"Salt, stone & earths (25)",8229
2013,Exports,"PAKISTAN, ISLAMIC REP. OF","Lead, zinc & tin (78-80)",7801
2013,Exports,AUSTRALIA,"Salt, stone & earths (25)",6617
2013,Exports,UNITED KINGDOM,"Salt, stone & earths (25)",6305
2013,Exports,CANADA,"Lead, zinc & tin (78-80)",6274
2013,Exports,CANADA,"Salt, stone & earths (25)",4630
2013,Exports,GERMANY,"Lead, zinc & tin (78-80)",4176
2013,Exports,QATAR,"Salt, stone & earths (25)",3620
2013,Exports,NETHERLANDS,Copper (74),3305
2013,Exports,LEBANON,"Lead, zinc & tin (78-80)",3000
2013,Exports,SRI LANKA (CEYLON),"Lead, zinc & tin (78-80)",2304
2013,Exports,"KOREA, REP. (SOUTH)",Gold (7108),2034
2013,Exports,PACIFIC TRUST TERRITORY,Copper (74),1713
2013,Exports,FRANCE,"Lead, zinc & tin (78-80)",1528
2013,Exports,CANADA,Copper (74),1360
2013,Exports,UNITED STATES,Nickel (75),1337
2013,Exports,NEW ZEALAND,"Salt, stone & earths (25)",1330
2013,Exports,VIETNAM,"Lead, zinc & tin (78-80)",975
2013,Exports,SINGAPORE,Gold (7108),668
2013,Exports,MEXICO,"Salt, stone & earths (25)",526
2013,Exports,MAURITIUS,"Salt, stone & earths (25)",496
2013,Exports,SPAIN,"Salt, stone & earths (25)",401
2013,Exports,NETHERLANDS,"Lead, zinc & tin (78-80)",375
2013,Exports,AFGHANISTAN,"Salt, stone & earths (25)",221
2013,Exports,ROMANIA,"Lead, zinc & tin (78-80)",198
2013,Exports,ROMANIA,"Salt, stone & earths (25)",174
2013,Exports,KUWAIT,"Salt, stone & earths (25)",128
2013,Exports,FINLAND,"Lead, zinc & tin (78-80)",98
2013,Exports,RUSSIA,"Lead, zinc & tin (78-80)",90
2013,Exports,MALAYSIA,Nickel (75),80
2013,Exports,KAZAKHSTAN,"Lead, zinc & tin (78-80)",78
2013,Exports,MEXICO,"Lead, zinc & tin (78-80)",70
2013,Exports,FRANCE,Copper (74),40
2013,Exports,ITALY,"Salt, stone & earths (25)",38
2013,Imports,SAUDI ARABIA,Mineral fuels (27),2799865550
2013,Imports,"KOREA, REP. (SOUTH)",Mineral fuels (27),1845984194
2013,Imports,TAIWAN,Mineral fuels (27),1810472222
2013,Imports,RUSSIA,Mineral fuels (27),1217897018
2013,Imports,SINGAPORE,Mineral fuels (27),1179565375
2013,Imports,QATAR,Mineral fuels (27),1021517994
2013,Imports,UNITED ARAB EMIRATES,Mineral fuels (27),1016940081
2013,Imports,CHINA,Mineral fuels (27),872999466
2013,Imports,INDONESIA,Mineral fuels (27),844405492
2013,Imports,AUSTRALIA,Metal ores & concentrates (26),399273499
2013,Imports,MALAYSIA,Mineral fuels (27),332944707
2013,Imports,THAILAND,Mineral fuels (27),245278798
2013,Imports,INDONESIA,Metal ores & concentrates (26),171022527
2013,Imports,PAPUA NEW GUINEA,Metal ores & concentrates (26),161201108
2013,Imports,"YEMEN, REPUBLIC OF",Mineral fuels (27),119223540
2013,Imports,"KOREA, REP. (SOUTH)",Copper (74),101885411
2013,Imports,CHILE,Metal ores & concentrates (26),84796267
2013,Imports,IRAN,Metal ores & concentrates (26),84355949
2013,Imports,KUWAIT,Mineral fuels (27),82903490
2013,Imports,JAPAN,Mineral fuels (27),81984062
2013,Imports,TAIWAN,Copper (74),77649917
2013,Imports,VIETNAM,"Salt, stone & earths (25)",68652535
2013,Imports,CANADA,Metal ores & concentrates (26),65821901
2013,Imports,UNITED STATES,Metal ores & concentrates (26),48051236
2013,Imports,CHINA,Metal ores & concentrates (26),44777745
2013,Imports,CHINA,"Salt, stone & earths (25)",42772728
2013,Imports,"SOUTH AFRICA, REP. OF",Copper (74),38525962
2013,Imports,JAPAN,Copper (74),38129286
2013,Imports,PERU,Metal ores & concentrates (26),37038302
2013,Imports,MALAYSIA,"Salt, stone & earths (25)",36369748
2013,Imports,VIETNAM,Mineral fuels (27),35348926
2013,Imports,AUSTRALIA,Copper (74),34015313
2013,Imports,"KOREA, REP. (SOUTH)","Salt, stone & earths (25)",33932005
2013,Imports,OMAN,Mineral fuels (27),33688674
2013,Imports,ISRAEL,"Salt, stone & earths (25)",30903197
2013,Imports,MOROCCO,"Salt, stone & earths (25)",25232498
2013,Imports,INDIA,Mineral fuels (27),21807986
2013,Imports,CHINA,Copper (74),21734203
2013,Imports,INDONESIA,Copper (74),21156305
2013,Imports,AUSTRALIA,Mineral fuels (27),20993769
2013,Imports,HONG KONG,Copper (74),19494069
2013,Imports,MALAYSIA,Copper (74),18276990
2013,Imports,JAPAN,Metal ores & concentrates (26),17060483
2013,Imports,SINGAPORE,Gold (7108),16873270
2013,Imports,AUSTRALIA,"Salt, stone & earths (25)",15772587
2013,Imports,MALAYSIA,"Lead, zinc & tin (78-80)",15643873
2013,Imports,THAILAND,"Salt, stone & earths (25)",15585883
2013,Imports,"KOREA, REP. (SOUTH)",Metal ores & concentrates (26),14958064
2013,Imports,THAILAND,Copper (74),14846890
2013,Imports,"KOREA, REP. (SOUTH)","Lead, zinc & tin (78-80)",14087990
2013,Imports,JAPAN,"Lead, zinc & tin (78-80)",12982821
2013,Imports,"SOUTH AFRICA, REP. OF",Metal ores & concentrates (26),10918624
2013,Imports,VIETNAM,Metal ores & concentrates (26),10630672
2013,Imports,BRAZIL,Metal ores & concentrates (26),9845689
2013,Imports,UNITED STATES,Mineral fuels (27),8653892
2013,Imports,INDIA,Metal ores & concentrates (26),7524201
2013,Imports,HONG KONG,Mineral fuels (27),7293076
2013,Imports,JAPAN,"Salt, stone & earths (25)",6874236
2013,Imports,JAPAN,Gold (7108),6713206
2013,Imports,"KOREA, REP. (SOUTH)",Gold (7108),6383611
2013,Imports,TAIWAN,"Lead, zinc & tin (78-80)",6321506
2013,Imports,UNITED STATES,"Salt, stone & earths (25)",3934992
2013,Imports,VIETNAM,"Lead, zinc & tin (78-80)",3676797
2013,Imports,NEW ZEALAND,Mineral fuels (27),3628025
2013,Imports,HONG KONG,"Lead, zinc & tin (78-80)",3051144
2013,Imports,SINGAPORE,Copper (74),3004867
2013,Imports,UNITED STATES,"Lead, zinc & tin (78-80)",2935198
2013,Imports,SAUDI ARABIA,Copper (74),2852439
2013,Imports,TAIWAN,"Salt, stone & earths (25)",2609813
2013,Imports,SINGAPORE,"Salt, stone & earths (25)",2444130
2013,Imports,BULGARIA,Copper (74),2152264
2013,Imports,BAHRAIN,Mineral fuels (27),2116584
2013,Imports,INDIA,"Salt, stone & earths (25)",2115908
2013,Imports,CANADA,"Lead, zinc & tin (78-80)",1911869
2013,Imports,INDIA,Copper (74),1794331
2013,Imports,IRAN,Mineral fuels (27),1760526
2013,Imports,CHINA,"Lead, zinc & tin (78-80)",1746978
2013,Imports,UNITED STATES,Copper (74),1569068
2013,Imports,SWITZERLAND,"Lead, zinc & tin (78-80)",1506377
2013,Imports,NETHERLANDS,Mineral fuels (27),1480475
2013,Imports,SINGAPORE,"Lead, zinc & tin (78-80)",1363274
2013,Imports,UNITED ARAB EMIRATES,Copper (74),1357982
2013,Imports,GERMANY,"Lead, zinc & tin (78-80)",1239998
2013,Imports,AUSTRALIA,"Lead, zinc & tin (78-80)",1147201
2013,Imports,INDONESIA,"Salt, stone & earths (25)",1084990
2013,Imports,SWITZERLAND,Mineral fuels (27),1020416
2013,Imports,GERMANY,Mineral fuels (27),1019445
2013,Imports,GERMANY,Copper (74),995645
2013,Imports,RUSSIA,"Salt, stone & earths (25)",915401
2013,Imports,AUSTRALIA,Nickel (75),887653
2013,Imports,CHINA,Gold (7108),872231
2013,Imports,VIETNAM,Copper (74),643970
2013,Imports,SINGAPORE,Nickel (75),634976
2013,Imports,FRANCE,Mineral fuels (27),614472
2013,Imports,GERMANY,"Salt, stone & earths (25)",591482
2013,Imports,CANADA,Nickel (75),564648
2013,Imports,UNITED ARAB EMIRATES,"Lead, zinc & tin (78-80)",550527
2013,Imports,THAILAND,Metal ores & concentrates (26),550176
2013,Imports,ITALY,Copper (74),537694
2013,Imports,UNITED STATES,Gold (7108),534868
2013,Imports,CYPRUS,Mineral fuels (27),509222
2013,Imports,HONG KONG,"Salt, stone & earths (25)",359390
2013,Imports,UNITED KINGDOM,"Salt, stone & earths (25)",359084
2013,Imports,GERMANY,Gold (7108),338174
2013,Imports,TAIWAN,Nickel (75),296538
2013,Imports,JAPAN,Nickel (75),293675
2013,Imports,UNITED KINGDOM,Copper (74),278521
2013,Imports,"KOREA, REP. (SOUTH)",Nickel (75),266734
2013,Imports,NETHERLANDS,"Salt, stone & earths (25)",266266
2013,Imports,FRANCE,Copper (74),264885
2013,Imports,"SOUTH AFRICA, REP. OF",Mineral fuels (27),249764
2013,Imports,CHINA,Nickel (75),243994
2013,Imports,TAIWAN,Gold (7108),232647
2013,Imports,INDIA,Nickel (75),209573
