Geographic location,Commodity Description,Consumer Price Index for Bottom 30% Income Households Weights: (2012=100)
..REGION I (ILOCOS REGION),Fruit (ND),0.06607314
..REGION I (ILOCOS REGION),Vegetables (ND),0.20305341
..REGION I (ILOCOS REGION),"Sugar, jam, honey, chocolate and confectionery (ND)",0.07540634
..REGION I (ILOCOS REGION),Food products n.e.c. (ND),0.08079366
..REGION I (ILOCOS REGION),NON-ALCOHOLIC BEVERAGES,0.14239121
..REGION I (ILOCOS REGION),"Coffee, tea and cocoa (ND)",0.07914688
..REGION I (ILOCOS REGION),"Mineral water, soft drinks, fruit and vegetable juices (ND)",0.06324433
..REGION I (ILOCOS REGION),ALCOHOLIC BEVERAGES AND TOBACCO,0.09631254
..REGION I (ILOCOS REGION),ALCOHOLIC BEVERAGES,0.04553194
..REGION I (ILOCOS REGION),Spirits (ND),0.03847109
..REGION I (ILOCOS REGION),Wine (ND),0.00007469
..REGION I (ILOCOS REGION),Beer (ND),0.00698616
..REGION I (ILOCOS REGION),TOBACCO,0.05078060
..REGION I (ILOCOS REGION),Tobacco (ND),0.05078060
..REGION I (ILOCOS REGION),OTHER VEGETABLE-BASED TOBACCO PRODUCTS,..
..REGION I (ILOCOS REGION),Other vegetable-based products,..
..REGION I (ILOCOS REGION),NON-FOOD,1.99722524
..REGION I (ILOCOS REGION),CLOTHING AND FOOTWEAR,0.10429035
..REGION I (ILOCOS REGION),CLOTHING,0.07106537
..REGION I (ILOCOS REGION),Clothing materials (SD),0.00001032
..REGION I (ILOCOS REGION),Garments (SD),0.07064661
..REGION I (ILOCOS REGION),Other articles of clothing and clothing accessories (SD),0.00040844
..REGION I (ILOCOS REGION),"Cleaning, repair and hire of clothing (S)",..
..REGION I (ILOCOS REGION),FOOTWEAR,0.03322498
..REGION I (ILOCOS REGION),Shoes and other footwear (SD),0.03319102
..REGION I (ILOCOS REGION),Repair and hire of footwear (S),0.00003396
..REGION I (ILOCOS REGION),"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.81120578
..REGION I (ILOCOS REGION),ACTUAL RENTALS FOR HOUSING,0.41658060
..REGION I (ILOCOS REGION),Actual rentals paid by tenants (S),0.41658060
..REGION I (ILOCOS REGION),MAINTENANCE AND REPAIR OF THE DWELLING,0.00803542
..REGION I (ILOCOS REGION),Materials for the maintenance and repair of the dwelling (ND),0.00728672
..REGION I (ILOCOS REGION),Services for the maintenance and repair of the dwelling (S),0.00074870
..REGION I (ILOCOS REGION),WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING,0.00545166
..REGION I (ILOCOS REGION),Water supply (ND),0.00545166
..REGION I (ILOCOS REGION),"ELECTRICITY, GAS AND OTHER FUELS",0.38113810
..REGION I (ILOCOS REGION),Electricity (ND),0.15484032
..REGION I (ILOCOS REGION),Gas (ND),0.03590974
..REGION I (ILOCOS REGION),Liquid fuels (ND),0.01018657
..REGION I (ILOCOS REGION),Solid fuels (ND),0.18020147
..REGION I (ILOCOS REGION),"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.08779499
..REGION I (ILOCOS REGION),"FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",0.00204619
..REGION I (ILOCOS REGION),Furniture and furnishings (D),0.00187846
..REGION I (ILOCOS REGION),Carpets and other floor coverings (D),0.00016773
..REGION I (ILOCOS REGION),HOUSEHOLD TEXTILES,0.00136898
..REGION I (ILOCOS REGION),Household textiles (SD),0.00136898
..REGION I (ILOCOS REGION),HOUSEHOLD APPLIANCES,0.00249341
..REGION I (ILOCOS REGION),Major household appliances whether electric or not (D),0.00082760
..REGION I (ILOCOS REGION),Small electric household appliances (SD),0.00143737
..REGION I (ILOCOS REGION),Repair of household appliances (S),0.00022844
..REGION I (ILOCOS REGION),"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",0.00068325
..REGION I (ILOCOS REGION),"Glassware, tableware and household utensils (SD)",0.00068325
..REGION I (ILOCOS REGION),TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,0.00030062
..REGION I (ILOCOS REGION),Major tools and equipment (D),0.00015030
..REGION I (ILOCOS REGION),Small tools and miscellaneous accessories (SD),0.00015032
..REGION I (ILOCOS REGION),GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,0.08090254
..REGION I (ILOCOS REGION),Non-durable household goods (ND),0.07745278
..REGION I (ILOCOS REGION),Domestic services and household services (S),0.00344976
..REGION I (ILOCOS REGION),HEALTH,0.06864064
..REGION I (ILOCOS REGION),"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",0.03059812
..REGION I (ILOCOS REGION),Pharmaceutical Products (ND),0.02987505
..REGION I (ILOCOS REGION),Other medical products (ND),0.00067263
..REGION I (ILOCOS REGION),Therapeutic appliances and equipment (D),0.00005044
..REGION I (ILOCOS REGION),OUTPATIENT SERVICES,0.00871495
..REGION I (ILOCOS REGION),Medical services,0.00737272
..REGION I (ILOCOS REGION),Dental services (S),0.00046646
..REGION I (ILOCOS REGION),Paramedical services (S),0.00087577
..REGION I (ILOCOS REGION),HOSPITAL SERVICES,0.02932757
..REGION I (ILOCOS REGION),Hospital services (In-Patient Services),0.02932757
..REGION I (ILOCOS REGION),TRANSPORT,0.21319864
..REGION I (ILOCOS REGION),Purchase of vehicles,0.00916957
..REGION I (ILOCOS REGION),Motorcycle,0.00706122
..REGION I (ILOCOS REGION),Bicycle and tricycle,0.00210835
..REGION I (ILOCOS REGION),OPERATION OF PERSONAL TRANSPORT EQUIPMENT,0.03018988
..REGION I (ILOCOS REGION),Spare parts and accessories for personal transport equipment (SD),0.00099230
..REGION I (ILOCOS REGION),Fuel and lubricants for personal transport equipment (ND),0.02844584
..REGION I (ILOCOS REGION),Maintenance and repair of personal transport equipment (S),0.00075174
..REGION I (ILOCOS REGION),Other services with respect of personal transport equipment (S),..
..REGION I (ILOCOS REGION),TRANSPORT SERVICES,0.17383919
..REGION I (ILOCOS REGION),Passenger transport by railway,..
..REGION I (ILOCOS REGION),Passenger transport by road,0.17383919
..REGION I (ILOCOS REGION),Passenger transport by air,..
..REGION I (ILOCOS REGION),Passenger transport by sea and inland waterway,..
..REGION I (ILOCOS REGION),COMMUNICATION,0.06253225
..REGION I (ILOCOS REGION),POSTAL SERVICES,0.00016322
..REGION I (ILOCOS REGION),Postal services (S),0.00016322
..REGION I (ILOCOS REGION),TELEPHONE AND TELEFAX EQUIPMENT,0.00628349
..REGION I (ILOCOS REGION),Telephone and telefax equipment (S),0.00628349
..REGION I (ILOCOS REGION),TELEPHONE AND TELEFAX SERVICES,0.05608554
..REGION I (ILOCOS REGION),Telephone and telefax services (S),0.05608554
..REGION I (ILOCOS REGION),RECREATION AND CULTURE,0.02658022
..REGION I (ILOCOS REGION),AUDIO-VISUAL PHOTOGRAPHY AND INFORMATION PROCESSING EQUIPMENT,0.00454838
..REGION I (ILOCOS REGION),"Equipment for the reception, recording and reproduction of sound and pictures (D)",0.00283449
..REGION I (ILOCOS REGION),Photographic and cinematographic equipment and optical instruments (D),..
..REGION I (ILOCOS REGION),Information processing equipment (D),0.00162737
..REGION I (ILOCOS REGION),Recording media (SD),0.00008652
..REGION I (ILOCOS REGION),"Repair of audio-visual, photographic and information processing equipment (S)",..
..REGION I (ILOCOS REGION),OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,..
..REGION I (ILOCOS REGION),Musical instruments and major durables for indoor recreation (D),..
..REGION I (ILOCOS REGION),"OTHER RECREATIONAL ITEMS AND EQUIPMENT, GARDENS AND PETS",0.00318155
..REGION I (ILOCOS REGION),"Games, toys and hobbies (SD)",0.00174328
..REGION I (ILOCOS REGION),"Equipment for sport, camping and open-air recreation (SD)",0.00001840
..REGION I (ILOCOS REGION),"Gardens, plants and flowers (ND)",0.00037268
..REGION I (ILOCOS REGION),Pets and related products (ND),0.00104719
..REGION I (ILOCOS REGION),RECREATIONAL AND CULTURAL SERVICES,0.00148205
..REGION I (ILOCOS REGION),Recreational and sporting services (S),..
..REGION I (ILOCOS REGION),Cultural services (S),0.00035238
..REGION I (ILOCOS REGION),Games of chance (S),0.00112967
..REGION I (ILOCOS REGION),NEWSPAPERS. BOOKS AND STATIONERY,0.01736824
..REGION I (ILOCOS REGION),Books (SD),0.00139028
..REGION I (ILOCOS REGION),Newspapers and periodicals (ND),0.00015830
..REGION I (ILOCOS REGION),Miscellaneous printed matter (ND),0.00014742
..REGION I (ILOCOS REGION),Stationery and drawing materials (ND),0.01567224
..REGION I (ILOCOS REGION),EDUCATION,0.03595051
..REGION I (ILOCOS REGION),PRE-PRIMARY (PRE-SCHOOL) AND PRIMARY (ELEMENTARY) EDUCATION,0.00350531
..REGION I (ILOCOS REGION),Pre-primary education services (S),0.00121920
..REGION I (ILOCOS REGION),Primary education services (S),0.00228611
..REGION I (ILOCOS REGION),SECONDARY (HIGH SCHOOL) EDUCATION,0.00718371
..REGION I (ILOCOS REGION),Secondary education services (S),0.00718371
..REGION I (ILOCOS REGION),POST-SECONDARY NON-TERTIARY (TECHNICAL-VOCATIONAL) EDUCATION,0.00053592
..REGION I (ILOCOS REGION),Post-secondary non-tertiary education services (S),0.00053592
..REGION I (ILOCOS REGION),TERTIARY (BACCALAUREATE AND POST-GRADUATE) EDUCATION,0.02472557
..REGION I (ILOCOS REGION),First stage of tertiary education services (S),0.02054902
..REGION I (ILOCOS REGION),Second stage of tertiary education services (S),0.00417655
..REGION I (ILOCOS REGION),EDUCATION NOT DEFINABLE BY LEVEL,..
..REGION I (ILOCOS REGION),Education services not definable by level (S),..
..REGION I (ILOCOS REGION),RESTAURANTS AND MISCELLANEOUS GOODS AND SERVICES,0.58703186
..REGION I (ILOCOS REGION),CATERING SERVICES,0.31214437
..REGION I (ILOCOS REGION),"Restaurants, cafes and the like (S)",0.31214437
..REGION I (ILOCOS REGION),PERSONAL CARE,0.23321299
..REGION I (ILOCOS REGION),Hairdressing salons and personal grooming establishments (S),0.02906459
..REGION I (ILOCOS REGION),Electric appliances for personal care (SD),..
..REGION I (ILOCOS REGION),"Other appliances, articles and products for personal care (ND)",0.20414840
..REGION I (ILOCOS REGION),"PERSONAL EFFECTS, N.E.C.",0.03705913
..REGION I (ILOCOS REGION),"Jewellery, clocks and watches (D)",0.02488782
..REGION I (ILOCOS REGION),Other personal effects (SD),0.01217131
..REGION I (ILOCOS REGION),"OTHER SERVICES, n.e.c.",0.00461537
..REGION I (ILOCOS REGION),"Other services, n.e.c.",0.00461537
..REGION II (CAGAYAN VALLEY),ALL ITEMS,3.61531523
..REGION II (CAGAYAN VALLEY),FOOD AND NON-ALCOHOLIC BEVERAGES,2.02008580
..REGION II (CAGAYAN VALLEY),FOOD,1.90864999
..REGION II (CAGAYAN VALLEY),Bread and cereals (ND),0.84189089
..REGION II (CAGAYAN VALLEY),Rice,0.69714331
..REGION II (CAGAYAN VALLEY),Corn,0.00972254
..REGION II (CAGAYAN VALLEY),"Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",0.13502504
..REGION II (CAGAYAN VALLEY),Meat (ND),0.27246611
..REGION II (CAGAYAN VALLEY),Fish  and Seafood (ND),0.25629789
..REGION II (CAGAYAN VALLEY),"Milk, cheese and eggs (ND)",0.11378430
..REGION II (CAGAYAN VALLEY),Oils and fats (ND),0.04558556
..REGION II (CAGAYAN VALLEY),Fruit (ND),0.04128592
..REGION II (CAGAYAN VALLEY),Vegetables (ND),0.20448294
..REGION II (CAGAYAN VALLEY),"Sugar, jam, honey, chocolate and confectionery (ND)",0.06096635
..REGION II (CAGAYAN VALLEY),Food products n.e.c. (ND),0.07189003
..REGION II (CAGAYAN VALLEY),NON-ALCOHOLIC BEVERAGES,0.11143581
..REGION II (CAGAYAN VALLEY),"Coffee, tea and cocoa (ND)",0.06670353
..REGION II (CAGAYAN VALLEY),"Mineral water, soft drinks, fruit and vegetable juices (ND)",0.04473228
..REGION II (CAGAYAN VALLEY),ALCOHOLIC BEVERAGES AND TOBACCO,0.09688552
..REGION II (CAGAYAN VALLEY),ALCOHOLIC BEVERAGES,0.03984570
..REGION II (CAGAYAN VALLEY),Spirits (ND),0.03631412
..REGION II (CAGAYAN VALLEY),Wine (ND),0.00026538
..REGION II (CAGAYAN VALLEY),Beer (ND),0.00326620
..REGION II (CAGAYAN VALLEY),TOBACCO,0.05703982
..REGION II (CAGAYAN VALLEY),Tobacco (ND),0.05703982
..REGION II (CAGAYAN VALLEY),OTHER VEGETABLE-BASED TOBACCO PRODUCTS,..
..REGION II (CAGAYAN VALLEY),Other vegetable-based products,..
..REGION II (CAGAYAN VALLEY),NON-FOOD,1.49834391
..REGION II (CAGAYAN VALLEY),CLOTHING AND FOOTWEAR,0.09252530
..REGION II (CAGAYAN VALLEY),CLOTHING,0.05952311
..REGION II (CAGAYAN VALLEY),Clothing materials (SD),0.00002499
..REGION II (CAGAYAN VALLEY),Garments (SD),0.05890923
..REGION II (CAGAYAN VALLEY),Other articles of clothing and clothing accessories (SD),0.00018838
..REGION II (CAGAYAN VALLEY),"Cleaning, repair and hire of clothing (S)",0.00040051
..REGION II (CAGAYAN VALLEY),FOOTWEAR,0.03300219
..REGION II (CAGAYAN VALLEY),Shoes and other footwear (SD),0.03299471
..REGION II (CAGAYAN VALLEY),Repair and hire of footwear (S),0.00000748
..REGION II (CAGAYAN VALLEY),"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.58356086
..REGION II (CAGAYAN VALLEY),ACTUAL RENTALS FOR HOUSING,0.26811763
..REGION II (CAGAYAN VALLEY),Actual rentals paid by tenants (S),0.26811763
..REGION II (CAGAYAN VALLEY),MAINTENANCE AND REPAIR OF THE DWELLING,0.01315054
..REGION II (CAGAYAN VALLEY),Materials for the maintenance and repair of the dwelling (ND),0.01249204
..REGION II (CAGAYAN VALLEY),Services for the maintenance and repair of the dwelling (S),0.00065850
..REGION II (CAGAYAN VALLEY),WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING,0.00859644
..REGION II (CAGAYAN VALLEY),Water supply (ND),0.00859644
..REGION II (CAGAYAN VALLEY),"ELECTRICITY, GAS AND OTHER FUELS",0.29369625
..REGION II (CAGAYAN VALLEY),Electricity (ND),0.08186759
..REGION II (CAGAYAN VALLEY),Gas (ND),0.01894812
..REGION II (CAGAYAN VALLEY),Liquid fuels (ND),0.01092880
..REGION II (CAGAYAN VALLEY),Solid fuels (ND),0.18195174
..REGION II (CAGAYAN VALLEY),"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.06742031
..REGION II (CAGAYAN VALLEY),"FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",0.00239820
..REGION II (CAGAYAN VALLEY),Furniture and furnishings (D),0.00238764
..REGION II (CAGAYAN VALLEY),Carpets and other floor coverings (D),0.00001056
..REGION II (CAGAYAN VALLEY),HOUSEHOLD TEXTILES,0.00152884
..REGION II (CAGAYAN VALLEY),Household textiles (SD),0.00152884
..REGION II (CAGAYAN VALLEY),HOUSEHOLD APPLIANCES,0.00315377
..REGION II (CAGAYAN VALLEY),Major household appliances whether electric or not (D),0.00180848
..REGION II (CAGAYAN VALLEY),Small electric household appliances (SD),0.00127869
..REGION II (CAGAYAN VALLEY),Repair of household appliances (S),0.00006660
..REGION II (CAGAYAN VALLEY),"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",0.00070221
..REGION II (CAGAYAN VALLEY),"Glassware, tableware and household utensils (SD)",0.00070221
..REGION II (CAGAYAN VALLEY),TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,0.00095378
..REGION II (CAGAYAN VALLEY),Major tools and equipment (D),..
..REGION II (CAGAYAN VALLEY),Small tools and miscellaneous accessories (SD),0.00095378
..REGION II (CAGAYAN VALLEY),GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,0.05868351
..REGION II (CAGAYAN VALLEY),Non-durable household goods (ND),0.05868351
..REGION II (CAGAYAN VALLEY),Domestic services and household services (S),..
..REGION II (CAGAYAN VALLEY),HEALTH,0.06335369
..REGION II (CAGAYAN VALLEY),"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",0.02841624
..REGION II (CAGAYAN VALLEY),Pharmaceutical Products (ND),0.02643984
..REGION II (CAGAYAN VALLEY),Other medical products (ND),0.00197640
..REGION II (CAGAYAN VALLEY),Therapeutic appliances and equipment (D),..
..REGION II (CAGAYAN VALLEY),OUTPATIENT SERVICES,0.01011708
..REGION II (CAGAYAN VALLEY),Medical services,0.00896996
..REGION II (CAGAYAN VALLEY),Dental services (S),0.00024628
..REGION II (CAGAYAN VALLEY),Paramedical services (S),0.00090084
..REGION II (CAGAYAN VALLEY),HOSPITAL SERVICES,0.02482037
..REGION II (CAGAYAN VALLEY),Hospital services (In-Patient Services),0.02482037
..REGION II (CAGAYAN VALLEY),TRANSPORT,0.18605761
..REGION II (CAGAYAN VALLEY),Purchase of vehicles,0.02404718
..REGION II (CAGAYAN VALLEY),Motorcycle,0.02394373
..REGION II (CAGAYAN VALLEY),Bicycle and tricycle,0.00010345
..REGION II (CAGAYAN VALLEY),OPERATION OF PERSONAL TRANSPORT EQUIPMENT,0.02691507
..REGION II (CAGAYAN VALLEY),Spare parts and accessories for personal transport equipment (SD),0.00275194
..REGION II (CAGAYAN VALLEY),Fuel and lubricants for personal transport equipment (ND),0.02238719
..REGION II (CAGAYAN VALLEY),Maintenance and repair of personal transport equipment (S),0.00177594
..REGION II (CAGAYAN VALLEY),Other services with respect of personal transport equipment (S),..
..REGION II (CAGAYAN VALLEY),TRANSPORT SERVICES,0.13509536
..REGION II (CAGAYAN VALLEY),Passenger transport by railway,..
..REGION II (CAGAYAN VALLEY),Passenger transport by road,0.13405828
..REGION II (CAGAYAN VALLEY),Passenger transport by air,..
..REGION II (CAGAYAN VALLEY),Passenger transport by sea and inland waterway,0.00103708
..REGION II (CAGAYAN VALLEY),COMMUNICATION,0.03800788
..REGION II (CAGAYAN VALLEY),POSTAL SERVICES,..
..REGION II (CAGAYAN VALLEY),Postal services (S),..
..REGION II (CAGAYAN VALLEY),TELEPHONE AND TELEFAX EQUIPMENT,0.00308463
..REGION II (CAGAYAN VALLEY),Telephone and telefax equipment (S),0.00308463
..REGION II (CAGAYAN VALLEY),TELEPHONE AND TELEFAX SERVICES,0.03492325
..REGION II (CAGAYAN VALLEY),Telephone and telefax services (S),0.03492325
..REGION II (CAGAYAN VALLEY),RECREATION AND CULTURE,0.02223943
..REGION II (CAGAYAN VALLEY),AUDIO-VISUAL PHOTOGRAPHY AND INFORMATION PROCESSING EQUIPMENT,0.00299542
..REGION II (CAGAYAN VALLEY),"Equipment for the reception, recording and reproduction of sound and pictures (D)",0.00274590
..REGION II (CAGAYAN VALLEY),Photographic and cinematographic equipment and optical instruments (D),..
..REGION II (CAGAYAN VALLEY),Information processing equipment (D),0.00023292
..REGION II (CAGAYAN VALLEY),Recording media (SD),0.00001538
..REGION II (CAGAYAN VALLEY),"Repair of audio-visual, photographic and information processing equipment (S)",0.00000122
..REGION II (CAGAYAN VALLEY),OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,0.00008578
..REGION II (CAGAYAN VALLEY),Musical instruments and major durables for indoor recreation (D),0.00008578
..REGION II (CAGAYAN VALLEY),"OTHER RECREATIONAL ITEMS AND EQUIPMENT, GARDENS AND PETS",0.00141591
..REGION II (CAGAYAN VALLEY),"Games, toys and hobbies (SD)",0.00038210
..REGION II (CAGAYAN VALLEY),"Equipment for sport, camping and open-air recreation (SD)",0.00016132
..REGION II (CAGAYAN VALLEY),"Gardens, plants and flowers (ND)",0.00007930
..REGION II (CAGAYAN VALLEY),Pets and related products (ND),0.00079319
..REGION II (CAGAYAN VALLEY),RECREATIONAL AND CULTURAL SERVICES,0.00247116
..REGION II (CAGAYAN VALLEY),Recreational and sporting services (S),..
..REGION II (CAGAYAN VALLEY),Cultural services (S),0.00099648
..REGION II (CAGAYAN VALLEY),Games of chance (S),0.00147468
..REGION II (CAGAYAN VALLEY),NEWSPAPERS. BOOKS AND STATIONERY,0.01527116
..REGION II (CAGAYAN VALLEY),Books (SD),0.00099253
..REGION II (CAGAYAN VALLEY),Newspapers and periodicals (ND),0.00001063
..REGION II (CAGAYAN VALLEY),Miscellaneous printed matter (ND),..
..REGION II (CAGAYAN VALLEY),Stationery and drawing materials (ND),0.01426800
..REGION II (CAGAYAN VALLEY),EDUCATION,0.03748987
..REGION II (CAGAYAN VALLEY),PRE-PRIMARY (PRE-SCHOOL) AND PRIMARY (ELEMENTARY) EDUCATION,0.00866616
..REGION II (CAGAYAN VALLEY),Pre-primary education services (S),0.00217342
..REGION II (CAGAYAN VALLEY),Primary education services (S),0.00649274
..REGION II (CAGAYAN VALLEY),SECONDARY (HIGH SCHOOL) EDUCATION,0.01061313
..REGION II (CAGAYAN VALLEY),Secondary education services (S),0.01061313
..REGION II (CAGAYAN VALLEY),POST-SECONDARY NON-TERTIARY (TECHNICAL-VOCATIONAL) EDUCATION,..
..REGION II (CAGAYAN VALLEY),Post-secondary non-tertiary education services (S),..
..REGION II (CAGAYAN VALLEY),TERTIARY (BACCALAUREATE AND POST-GRADUATE) EDUCATION,0.01821058
..REGION II (CAGAYAN VALLEY),First stage of tertiary education services (S),0.01380108
..REGION II (CAGAYAN VALLEY),Second stage of tertiary education services (S),0.00440950
..REGION II (CAGAYAN VALLEY),EDUCATION NOT DEFINABLE BY LEVEL,..
..REGION II (CAGAYAN VALLEY),Education services not definable by level (S),..
..REGION II (CAGAYAN VALLEY),RESTAURANTS AND MISCELLANEOUS GOODS AND SERVICES,0.40768896
..REGION II (CAGAYAN VALLEY),CATERING SERVICES,0.22520293
..REGION II (CAGAYAN VALLEY),"Restaurants, cafes and the like (S)",0.22520293
..REGION II (CAGAYAN VALLEY),PERSONAL CARE,0.16527356
..REGION II (CAGAYAN VALLEY),Hairdressing salons and personal grooming establishments (S),0.02216611
..REGION II (CAGAYAN VALLEY),Electric appliances for personal care (SD),..
..REGION II (CAGAYAN VALLEY),"Other appliances, articles and products for personal care (ND)",0.14310745
..REGION II (CAGAYAN VALLEY),"PERSONAL EFFECTS, N.E.C.",0.01721247
..REGION II (CAGAYAN VALLEY),"Jewellery, clocks and watches (D)",0.01167726
..REGION II (CAGAYAN VALLEY),Other personal effects (SD),0.00553521
..REGION II (CAGAYAN VALLEY),"OTHER SERVICES, n.e.c.",..
..REGION II (CAGAYAN VALLEY),"Other services, n.e.c.",..
..REGION III (CENTRAL LUZON),ALL ITEMS,7.93430506
..REGION III (CENTRAL LUZON),FOOD AND NON-ALCOHOLIC BEVERAGES,4.14831385
..REGION III (CENTRAL LUZON),FOOD,3.90313186
..REGION III (CENTRAL LUZON),Bread and cereals (ND),1.66054825
..REGION III (CENTRAL LUZON),Rice,1.29849834
..REGION III (CENTRAL LUZON),Corn,0.01368157
..REGION III (CENTRAL LUZON),"Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",0.34836834
..REGION III (CENTRAL LUZON),Meat (ND),0.58749367
..REGION III (CENTRAL LUZON),Fish  and Seafood (ND),0.57955455
..REGION III (CENTRAL LUZON),"Milk, cheese and eggs (ND)",0.26647388
..REGION III (CENTRAL LUZON),Oils and fats (ND),0.08534715
..REGION III (CENTRAL LUZON),Fruit (ND),0.10566868
..REGION III (CENTRAL LUZON),Vegetables (ND),0.30715140
..REGION III (CENTRAL LUZON),"Sugar, jam, honey, chocolate and confectionery (ND)",0.15428099
..REGION III (CENTRAL LUZON),Food products n.e.c. (ND),0.15661329
..REGION III (CENTRAL LUZON),NON-ALCOHOLIC BEVERAGES,0.24518199
..REGION III (CENTRAL LUZON),"Coffee, tea and cocoa (ND)",0.14459174
..REGION III (CENTRAL LUZON),"Mineral water, soft drinks, fruit and vegetable juices (ND)",0.10059025
..REGION III (CENTRAL LUZON),ALCOHOLIC BEVERAGES AND TOBACCO,0.22191442
..REGION III (CENTRAL LUZON),ALCOHOLIC BEVERAGES,0.05648193
..REGION III (CENTRAL LUZON),Spirits (ND),0.04000522
..REGION III (CENTRAL LUZON),Wine (ND),..
..REGION III (CENTRAL LUZON),Beer (ND),0.01647671
..REGION III (CENTRAL LUZON),TOBACCO,0.16543249
..REGION III (CENTRAL LUZON),Tobacco (ND),0.16543249
..REGION III (CENTRAL LUZON),OTHER VEGETABLE-BASED TOBACCO PRODUCTS,..
..REGION III (CENTRAL LUZON),Other vegetable-based products,..
..REGION III (CENTRAL LUZON),NON-FOOD,3.56407679
..REGION III (CENTRAL LUZON),CLOTHING AND FOOTWEAR,0.18706489
..REGION III (CENTRAL LUZON),CLOTHING,0.12565934
..REGION III (CENTRAL LUZON),Clothing materials (SD),0.00001021
..REGION III (CENTRAL LUZON),Garments (SD),0.12350573
..REGION III (CENTRAL LUZON),Other articles of clothing and clothing accessories (SD),0.00109195
..REGION III (CENTRAL LUZON),"Cleaning, repair and hire of clothing (S)",0.00105145
..REGION III (CENTRAL LUZON),FOOTWEAR,0.06140555
..REGION III (CENTRAL LUZON),Shoes and other footwear (SD),0.06138155
..REGION III (CENTRAL LUZON),Repair and hire of footwear (S),0.00002400
..REGION III (CENTRAL LUZON),"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",1.37819577
..REGION III (CENTRAL LUZON),ACTUAL RENTALS FOR HOUSING,0.72782787
..REGION III (CENTRAL LUZON),Actual rentals paid by tenants (S),0.72782787
..REGION III (CENTRAL LUZON),MAINTENANCE AND REPAIR OF THE DWELLING,0.01596416
..REGION III (CENTRAL LUZON),Materials for the maintenance and repair of the dwelling (ND),0.00887836
..REGION III (CENTRAL LUZON),Services for the maintenance and repair of the dwelling (S),0.00708580
..REGION III (CENTRAL LUZON),WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING,0.04968987
..REGION III (CENTRAL LUZON),Water supply (ND),0.04968987
..REGION III (CENTRAL LUZON),"ELECTRICITY, GAS AND OTHER FUELS",0.58471387
..REGION III (CENTRAL LUZON),Electricity (ND),0.24192057
..REGION III (CENTRAL LUZON),Gas (ND),0.06990588
..REGION III (CENTRAL LUZON),Liquid fuels (ND),0.02049393
..REGION III (CENTRAL LUZON),Solid fuels (ND),0.25239349
..REGION III (CENTRAL LUZON),"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.16857024
..REGION III (CENTRAL LUZON),"FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",0.00426838
..REGION III (CENTRAL LUZON),Furniture and furnishings (D),0.00421789
..REGION III (CENTRAL LUZON),Carpets and other floor coverings (D),0.00005049
..REGION III (CENTRAL LUZON),HOUSEHOLD TEXTILES,0.00323764
..REGION III (CENTRAL LUZON),Household textiles (SD),0.00323764
..REGION III (CENTRAL LUZON),HOUSEHOLD APPLIANCES,0.00479877
..REGION III (CENTRAL LUZON),Major household appliances whether electric or not (D),0.00323231
..REGION III (CENTRAL LUZON),Small electric household appliances (SD),0.00140201
..REGION III (CENTRAL LUZON),Repair of household appliances (S),0.00016445
..REGION III (CENTRAL LUZON),"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",0.00353019
..REGION III (CENTRAL LUZON),"Glassware, tableware and household utensils (SD)",0.00353019
..REGION III (CENTRAL LUZON),TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,0.00051598
..REGION III (CENTRAL LUZON),Major tools and equipment (D),0.00025798
..REGION III (CENTRAL LUZON),Small tools and miscellaneous accessories (SD),0.00025800
