Geographic location,Commodity Description,Consumer Price Index for Bottom 30% Income Households Weights: (2012=100)
PHILIPPINES,TRANSPORT SERVICES,3.80450780
PHILIPPINES,Passenger transport by railway,0.00231429
PHILIPPINES,Passenger transport by road,3.62118422
PHILIPPINES,Passenger transport by air,0.02140152
PHILIPPINES,Passenger transport by sea and inland waterway,0.15960777
PHILIPPINES,COMMUNICATION,1.20655056
PHILIPPINES,POSTAL SERVICES,0.00067634
PHILIPPINES,Postal services (S),0.00067634
PHILIPPINES,TELEPHONE AND TELEFAX EQUIPMENT,0.22744804
PHILIPPINES,Telephone and telefax equipment (S),0.22744804
PHILIPPINES,TELEPHONE AND TELEFAX SERVICES,0.97842618
PHILIPPINES,Telephone and telefax services (S),0.97842618
PHILIPPINES,RECREATION AND CULTURE,0.70039064
PHILIPPINES,AUDIO-VISUAL PHOTOGRAPHY AND INFORMATION PROCESSING EQUIPMENT,0.15736828
PHILIPPINES,"Equipment for the reception, recording and reproduction of sound and pictures (D)",0.13215404
PHILIPPINES,Photographic and cinematographic equipment and optical instruments (D),0.00001811
PHILIPPINES,Information processing equipment (D),0.02242726
PHILIPPINES,Recording media (SD),0.00232388
PHILIPPINES,"Repair of audio-visual, photographic and information processing equipment (S)",0.00044499
PHILIPPINES,OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,0.00073231
PHILIPPINES,Musical instruments and major durables for indoor recreation (D),0.00073231
PHILIPPINES,"OTHER RECREATIONAL ITEMS AND EQUIPMENT, GARDENS AND PETS",0.03765791
PHILIPPINES,"Games, toys and hobbies (SD)",0.02377390
PHILIPPINES,"Equipment for sport, camping and open-air recreation (SD)",0.00071805
PHILIPPINES,"Gardens, plants and flowers (ND)",0.00228368
PHILIPPINES,Pets and related products (ND),0.01088228
PHILIPPINES,RECREATIONAL AND CULTURAL SERVICES,0.07411061
PHILIPPINES,Recreational and sporting services (S),0.00082817
PHILIPPINES,Cultural services (S),0.01533716
PHILIPPINES,Games of chance (S),0.05794528
PHILIPPINES,NEWSPAPERS. BOOKS AND STATIONERY,0.43052153
