Geolocation,Number/Area of Holdings/Farms,Number/Area of Parcels,1960,1971,1980,1991,2002,2012
..Region I  (ILOCOS REGION),Area of Holdings/Farms,..1.00-2.99 Hectares,161961,152841,170976,159858,121563,99566
..Region I  (ILOCOS REGION),Area of Holdings/Farms,..3.00-4.99 Hectares,51096,67896,46848,42197,28661,21487
..Region I  (ILOCOS REGION),Area of Holdings/Farms,..5.00-9.99 Hectares,28429,24289,26639,25277,20627,11261
..Region I  (ILOCOS REGION),Area of Holdings/Farms,..10.00-24.99 Hectares,13509,10319,11085,9519,10279,3558
..Region I  (ILOCOS REGION),Area of Holdings/Farms,..25.00  Hectares and Over,14541,12730,15812,5845,9068,612
..Region II  (CAGAYAN VALLEY),Number of Holdings/Farms,TOTAL,125297,144827,209284,285721,321755,443260
..Region II  (CAGAYAN VALLEY),Number of Holdings/Farms,..Under 1.0 Hectares,6886,12854,41862,95242,130803,267288
..Region II  (CAGAYAN VALLEY),Number of Holdings/Farms,..1.00-2.99 Hectares,71966,81325,117878,142854,144933,136482
..Region II  (CAGAYAN VALLEY),Number of Holdings/Farms,..3.00-4.99 Hectares,28289,34628,32646,31602,29490,25187
..Region II  (CAGAYAN VALLEY),Number of Holdings/Farms,..5.00-9.99 Hectares,13885,12496,13576,13321,13423,11407
..Region II  (CAGAYAN VALLEY),Number of Holdings/Farms,..10.00-24.99 Hectares,3824,3032,2852,2437,2712,2646
..Region II  (CAGAYAN VALLEY),Number of Holdings/Farms,..25.00  Hectares and Over,447,492,470,266,394,250
..Region II  (CAGAYAN VALLEY),Area of Holdings/Farms,TOTAL,417788,502439,506563,530143,540812,480957
..Region II  (CAGAYAN VALLEY),Area of Holdings/Farms,..Under 1.0 Hectares,3609,6913,22199,46230,63159,67558
..Region II  (CAGAYAN VALLEY),Area of Holdings/Farms,..1.00-2.99 Hectares,121811,138828,191674,227833,226077,202938
..Region II  (CAGAYAN VALLEY),Area of Holdings/Farms,..3.00-4.99 Hectares,98584,122617,114544,112757,105289,88793
..Region II  (CAGAYAN VALLEY),Area of Holdings/Farms,..5.00-9.99 Hectares,88769,78362,85356,84286,85844,71890
..Region II  (CAGAYAN VALLEY),Area of Holdings/Farms,..10.00-24.99 Hectares,48906,42252,37572,32493,36658,34988
..Region II  (CAGAYAN VALLEY),Area of Holdings/Farms,..25.00  Hectares and Over,56106,113469,55216,26544,23785,14790
..Region III  (CENTRAL LUZON),Number of Holdings/Farms,TOTAL,174598,174445,245491,350785,341466,361545
..Region III  (CENTRAL LUZON),Number of Holdings/Farms,..Under 1.0 Hectares,10591,13859,46728,119719,144515,196570
..Region III  (CENTRAL LUZON),Number of Holdings/Farms,..1.00-2.99 Hectares,93006,90053,140664,170874,149274,126476
..Region III  (CENTRAL LUZON),Number of Holdings/Farms,..3.00-4.99 Hectares,49365,50595,43222,41528,31149,24840
..Region III  (CENTRAL LUZON),Number of Holdings/Farms,..5.00-9.99 Hectares,18419,16533,12729,15390,12911,10889
..Region III  (CENTRAL LUZON),Number of Holdings/Farms,..10.00-24.99 Hectares,2717,2840,1823,2829,3157,2511
..Region III  (CENTRAL LUZON),Number of Holdings/Farms,..25.00  Hectares and Over,497,565,325,448,460,259
..Region III  (CENTRAL LUZON),Area of Holdings/Farms,TOTAL,565728,564921,526750,632493,552104,446176
..Region III  (CENTRAL LUZON),Area of Holdings/Farms,..Under 1.0 Hectares,4661,6954,22603,50994,62429,54257
..Region III  (CENTRAL LUZON),Area of Holdings/Farms,..1.00-2.99 Hectares,165924,161635,229501,266945,228242,186619
..Region III  (CENTRAL LUZON),Area of Holdings/Farms,..3.00-4.99 Hectares,172566,179402,148963,144643,108566,85865
..Region III  (CENTRAL LUZON),Area of Holdings/Farms,..5.00-9.99 Hectares,112445,100766,76729,95303,80967,67592
..Region III  (CENTRAL LUZON),Area of Holdings/Farms,..10.00-24.99 Hectares,35472,39466,25057,38593,42545,33021
..Region III  (CENTRAL LUZON),Area of Holdings/Farms,..25.00  Hectares and Over,74660,76696,23899,36013,29355,18822
..Region IV-A  (CALABARZON),Number of Holdings/Farms,TOTAL,163807,169407,250771,319865,282746,341851
..Region IV-A  (CALABARZON),Number of Holdings/Farms,..Under 1.0 Hectares,14177,22119,61387,125062,120478,190109
..Region IV-A  (CALABARZON),Number of Holdings/Farms,..1.00-2.99 Hectares,84883,80524,112159,122733,100232,98609
..Region IV-A  (CALABARZON),Number of Holdings/Farms,..3.00-4.99 Hectares,34454,38459,44715,37460,31949,28757
..Region IV-A  (CALABARZON),Number of Holdings/Farms,..5.00-9.99 Hectares,22472,20040,24931,25483,21844,18394
..Region IV-A  (CALABARZON),Number of Holdings/Farms,..10.00-24.99 Hectares,7211,7447,6884,8221,7414,5585
..Region IV-A  (CALABARZON),Number of Holdings/Farms,..25.00  Hectares and Over,613,818,695,907,829,397
