Geolocation,Number/Area of Holdings/Farms,Number/Area of Parcels,1960,1971,1980,1991,2002,2012
..Region XIII (Caraga),Number of Holdings/Farms,..10.00-24.99 Hectares,5899,7058,7670,6465,5956,3706
..Region XIII (Caraga),Number of Holdings/Farms,..25.00  Hectares and Over,481,584,622,622,546,373
..Region XIII (Caraga),Area of Holdings/Farms,TOTAL,283629,359750,483936,517446,523407,461389
..Region XIII (Caraga),Area of Holdings/Farms,..Under 1.0 Hectares,825,1375,5793,21652,25675,22613
..Region XIII (Caraga),Area of Holdings/Farms,..1.00-2.99 Hectares,45586,52148,94728,132129,145279,122620
..Region XIII (Caraga),Area of Holdings/Farms,..3.00-4.99 Hectares,53543,91393,111323,100248,111219,81863
..Region XIII (Caraga),Area of Holdings/Farms,..5.00-9.99 Hectares,89677,90022,147885,133416,131764,83415
..Region XIII (Caraga),Area of Holdings/Farms,..10.00-24.99 Hectares,74008,93425,99350,85198,78151,48587
..Region XIII (Caraga),Area of Holdings/Farms,..25.00  Hectares and Over,20260,31388,24856,44785,31319,102290
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holdings/Farms,TOTAL,104912,119537,152040,227572,248528,282692
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holdings/Farms,..Under 1.0 Hectares,1818,2759,3074,25086,57995,128767
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holdings/Farms,..1.00-2.99 Hectares,35514,48322,66910,137266,135691,131761
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holdings/Farms,..3.00-4.99 Hectares,28329,44846,54183,41049,35442,14862
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holdings/Farms,..5.00-9.99 Hectares,27148,16630,24792,16322,15556,5815
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holdings/Farms,..10.00-24.99 Hectares,11679,4755,2832,3476,3284,1307
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holdings/Farms,..25.00  Hectares and Over,424,631,249,406,560,180
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holdings/Farms,TOTAL,520726,474389,514124,553301,533410,346525
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holdings/Farms,..Under 1.0 Hectares,780,1230,1557,12171,27989,50422
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holdings/Farms,..1.00-2.99 Hectares,60910,83601,119982,215806,206051,176913
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holdings/Farms,..3.00-4.99 Hectares,100138,160679,187936,140314,121681,49675
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holdings/Farms,..5.00-9.99 Hectares,167922,103149,147149,96784,94662,33970
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holdings/Farms,..10.00-24.99 Hectares,142972,66652,37453,46922,42876,16735
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holdings/Farms,..25.00  Hectares and Over,48003,59075,20048,41306,40151,18809
