..Region I  (ILOCOS REGION),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,92208,93910,114088,184943,133237,.
..Region I  (ILOCOS REGION),Area of Holding/Farm Parcels (in hectares),..Tenanted,99108,75587,53643,21171,34987,94240
..Region I  (ILOCOS REGION),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,2681,2695,9269
..Region I  (ILOCOS REGION),Area of Holding/Farm Parcels (in hectares),..Other Forms,9767,16567,20555,2686,2183,4182
..Region II  (CAGAYAN VALLEY),Number of Holding/Farm Parcels,TOTAL,125297,144827,209284,285721,321755,720637
..Region II  (CAGAYAN VALLEY),Number of Holding/Farm Parcels,..Owned  d/,50631,73142,113729,120984,148874,556667
..Region II  (CAGAYAN VALLEY),Number of Holding/Farm Parcels,..Partly Owned  e/,27058,27286,40341,144264,148384,.
..Region II  (CAGAYAN VALLEY),Number of Holding/Farm Parcels,..Tenanted,44681,38252,40443,8411,10875,88702
..Region II  (CAGAYAN VALLEY),Number of Holding/Farm Parcels,..Leased,.,.,.,2659,3297,23245
..Region II  (CAGAYAN VALLEY),Number of Holding/Farm Parcels,..Other Forms,2927,6147,14771,9401,9674,52023
..Region II  (CAGAYAN VALLEY),Area of Holding/Farm Parcels (in hectares),TOTAL,417788,502439,506563,530143,540812,480957
..Region II  (CAGAYAN VALLEY),Area of Holding/Farm Parcels (in hectares),..Owned  d/,182592,258827,303967,225473,247848,343334
..Region II  (CAGAYAN VALLEY),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,94384,84202,101872,271806,263982,.
..Region II  (CAGAYAN VALLEY),Area of Holding/Farm Parcels (in hectares),..Tenanted,105294,83529,67597,10241,13494,79548
..Region II  (CAGAYAN VALLEY),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,3401,4264,23109
..Region II  (CAGAYAN VALLEY),Area of Holding/Farm Parcels (in hectares),..Other Forms,35518,75882,33127,19222,10357,34966
..Region III  (CENTRAL LUZON),Number of Holding/Farm Parcels,TOTAL,174598,174445,245491,350785,341466,490023
..Region III  (CENTRAL LUZON),Number of Holding/Farm Parcels,..Owned  d/,30821,38162,121502,140375,179400,347248
..Region III  (CENTRAL LUZON),Number of Holding/Farm Parcels,..Partly Owned  e/,18639,25983,21408,156892,116374,.
..Region III  (CENTRAL LUZON),Number of Holding/Farm Parcels,..Tenanted,118266,93942,93108,18325,23652,72208
..Region III  (CENTRAL LUZON),Number of Holding/Farm Parcels,..Leased,.,.,.,20244,9775,25297
..Region III  (CENTRAL LUZON),Number of Holding/Farm Parcels,..Other Forms,6872,16358,9473,14950,11422,45270
..Region III  (CENTRAL LUZON),Area of Holding/Farm Parcels (in hectares),TOTAL,565728,564921,526750,632493,552104,446176
..Region III  (CENTRAL LUZON),Area of Holding/Farm Parcels (in hectares),..Owned  d/,110047,145140,272444,239421,273456,297130
..Region III  (CENTRAL LUZON),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,66516,89791,60559,311772,212618,.
