Sector,Year,January,February,March,April,May,June,July,August,September,October,November,December
Rice: Total Stock,2017,2765120.00,2296321.00,2176201.00,2675545.00,3214184.00,2572937.00,2347896.00,2027999.00,1422835.00,1935868.00,2958730.00,2849370.00
Rice: Total Stock,2018,2289649.00,1795783.00,1697374.00,2182668.00,2909456.00,2360984.00,1990822.00,1520764.00,1168028.00,1589893.00,3000445.00,2718483.00
Rice: Total Stock,2019,2550701.00,2141232.00,2221423.00,2629031.85,2947423.99,2598338.80,2625253.80,2133840.00,1842373.00,2279729.00,2962460.00,3098013.00
Rice: Total Stock,2020,2675039.00,2375497.00,2178636.00,2367873.00,2779030.00,2395941.00,2104760.00,1786250.00,1784820.00,2641080.00,3158538.00,2766398.00
Rice: Total Stock,2021,2331995.00,2193099.02,2080100.35,2444308.90,2584897.35,2530823.49,2177681.00,1578312.23,1332356.90,1954720.67,2418429.07,2377846.29
Rice: Total Stock,2022,1859447.81,1609248.25,1632510.00,2506130.00,2279957.29,2090620.07,2034574.68,1633359.30,1450885.19,2081839.99,2649810.00,2534590.00
Rice: Total Stock,2023,1850450.00,1523032.91,1408846.11,1843053.31,1882057.73,1818204.90,1804168.98,1632450.91,1546094.52,2024327.23,1978558.36,1895782.56
Rice: Total Stock,2024,2027180.48,1510976.97,1366188.44,1856160.79,2075770.81,2163673.78,2177878.72,1867641.11,1659232.97,2281614.84,2461441.52,2556602.38
Rice: Total Stock,2025,2200210.01,2006140.99,1611715.32,2341826.70,2358648.99,2239878.09,2790554.75,2321437.85,2072433.22,2354896.32,2554138.42,2707224.79
Rice: Total Stock,2026,2341155.06,2112282.15,1877328.88,2378655.18,2410587.01,..,..,..,..,..,..,..
Rice: Household Stock,1980,968700.00,855000.00,852400.00,825100.00,870900.00,778700.00,647500.00,512400.00,440800.00,564700.00,840000.00,1031700.00
Rice: Household Stock,1981,881100.00,672600.00,675500.00,787600.00,848200.00,702700.00,631500.00,482800.00,480400.00,532500.00,841800.00,983600.00
Rice: Household Stock,1982,858400.00,721900.00,719300.00,841900.00,919800.00,835500.00,639000.00,521200.00,434400.00,629800.00,1004600.00,1068100.00
Rice: Household Stock,1983,955900.00,755700.00,724100.00,820000.00,851000.00,731800.00,586500.00,468300.00,406900.00,417500.00,784400.00,1222700.00
Rice: Household Stock,1984,1094800.00,881400.00,767200.00,950100.00,1105100.00,931400.00,701800.00,571800.00,506700.00,648400.00,809600.00,986800.00
Rice: Household Stock,1985,890400.00,746700.00,684400.00,763200.00,809400.00,759600.00,620200.00,538400.00,479300.00,637000.00,1037700.00,1167800.00
Rice: Household Stock,1986,1019600.00,823600.00,776800.00,917000.00,939300.00,835400.00,682500.00,551400.00,470500.00,563700.00,950700.00,1069500.00
Rice: Household Stock,1987,942000.00,767600.00,686400.00,760000.00,729500.00,712100.00,529400.00,429300.00,349200.00,430100.00,796200.00,951500.00
Rice: Household Stock,1988,895000.00,674800.00,681200.00,924000.00,835800.00,681300.00,546800.00,442900.00,440200.00,687400.00,954500.00,1078100.00
Rice: Household Stock,1989,877200.00,679300.00,650900.00,802600.00,846400.00,670500.00,586400.00,462300.00,466800.00,797500.00,979300.00,1024600.00
Rice: Household Stock,1990,934700.00,793200.00,718900.00,853400.00,881300.00,571600.00,440400.00,458400.00,419200.00,528300.00,895000.00,1068000.00
Rice: Household Stock,1991,774500.00,653000.00,690000.00,996000.00,911300.00,979300.00,683200.00,458400.00,403800.00,521700.00,761700.00,904500.00
Rice: Household Stock,1992,955300.00,704200.00,555000.00,722600.00,607200.00,506500.00,559800.00,386800.00,305800.00,405400.00,794800.00,876600.00
Rice: Household Stock,1993,894600.00,659000.00,544600.00,604800.00,643400.00,544600.00,619400.00,383200.00,346400.00,432800.00,715800.00,873800.00
