Geolocation,Commodity Description,Consumer Price Index for Bottom 30% Income Households Weights: (2018=100)
PHILIPPINES,ALL ITEMS,100.00000000
PHILIPPINES,FOOD AND NON-ALCOHOLIC BEVERAGES,54.93042363
PHILIPPINES,FOOD,51.38033314
PHILIPPINES,Cereals and cereal products (ND),23.64338525
PHILIPPINES,Cereals (ND),19.61642771
PHILIPPINES,Rice,17.86845492
PHILIPPINES,Corn,1.74797279
PHILIPPINES,"Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",4.02695754
PHILIPPINES,Flour of cereals (ND),0.11773421
PHILIPPINES,Bread and bakery products (ND),2.35864647
PHILIPPINES,Breakfast cereals (ND),0.00841155
PHILIPPINES,"Macaroni, noodles, couscous and similar pasta products (ND)",1.00301718
PHILIPPINES,Other cereal and grain mill products (ND),0.53914813
PHILIPPINES,Meat and other parts of slaughtered land animals (ND),6.14848310
PHILIPPINES,"Meat, fresh, chilled or frozen (ND)",4.60550681
PHILIPPINES,"Meat, dried, salted, in brine or smoked (ND)",0.01194945
PHILIPPINES,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",0.13389738
PHILIPPINES,"Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",1.39712946
PHILIPPINES,Fish and other seafood (ND),8.49609019
PHILIPPINES,"Fish, live, fresh, chilled or frozen (ND)",6.28855605
PHILIPPINES,"Fish, dried, salted, in brine or smoked (ND)",0.95172080
PHILIPPINES,Fish preparations (ND),0.78852721
PHILIPPINES,"Other seafood, live, fresh, chilled or frozen (ND)",0.45952842
PHILIPPINES,Other seafood preparations (ND),0.00775771
PHILIPPINES,"Milk, other dairy products and eggs (ND)",3.35364483
PHILIPPINES,Raw and whole milk (ND),0.00688637
PHILIPPINES,Other milk and cream (ND),1.62345723
PHILIPPINES,Non-animal milk (ND),0.00149037
PHILIPPINES,Cheese (ND),0.04177300
PHILIPPINES,Yoghurt and similar products (ND),0.00099862
PHILIPPINES,Milk-based dessert and beverages (ND),0.01746278
PHILIPPINES,Eggs (ND),1.66157646
PHILIPPINES,Oils and fats (ND),0.67040273
PHILIPPINES,Vegetable oils (ND),0.56742811
PHILIPPINES,Butter and other fats and oils derived from milk (ND),0.00226548
PHILIPPINES,Margarine and similar preparations (ND),0.09854041
PHILIPPINES,Other animal oils and fats (ND),0.00216873
PHILIPPINES,Fruits and nuts (ND),1.72921001
PHILIPPINES,"Dates, figs and tropical fruits, fresh (ND)",1.64855165
PHILIPPINES,"Citrus fruits, fresh (ND)",0.01740332
PHILIPPINES,"Fruit, dried and dehydrated (ND)",0.00048071
PHILIPPINES,"Nuts, in shell or shelled (ND)",0.03690652
PHILIPPINES,Fruit and nuts ground and other preparations (ND),0.02586781
PHILIPPINES,"Vegetables, tubers, plantains, cooking bananas and pulses (ND)",4.00641566
PHILIPPINES,"Leafy or stem vegetables, fresh or chilled (ND)",1.24674292
PHILIPPINES,"Fruit-bearing vegetables, fresh or chilled (ND)",1.34968663
PHILIPPINES,"Other vegetables, fresh or chilled (ND)",0.96074500
PHILIPPINES,"Tubers, plantains and cooking bananas (ND)",0.40780468
PHILIPPINES,"Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",0.04143643
PHILIPPINES,"Sugar, confectionery and desserts (ND)",1.40394356
PHILIPPINES,Cane and beet sugar (ND),0.78700386
PHILIPPINES,"Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",0.00451551
PHILIPPINES,"Nut purée, nut butter and nut pastes (ND)",0.10508879
PHILIPPINES,"Chocolate, cocoa, and cocoa-based food products (ND)",0.06946922
PHILIPPINES,"Ice, ice cream and sorbet (ND)",0.27820696
PHILIPPINES,Other sugar confectionery and desserts n.e.c. (ND),0.15965922
PHILIPPINES,Ready-made food and other food products n.e.c. (ND),1.92875781
PHILIPPINES,Baby food (ND),0.33892674
PHILIPPINES,"Salt, condiments and sauces (ND)",1.01819185
PHILIPPINES,"Spices, culinary herbs and seeds (ND)",0.48266501
PHILIPPINES,Other food products n.e.c. (ND),0.08897421
PHILIPPINES,NON-ALCOHOLIC BEVERAGES,3.55009049
PHILIPPINES,Fruit and vegetable juices (ND),0.28155149
PHILIPPINES,Fruit and vegetable juices (ND),0.28155149
PHILIPPINES,Coffee and coffee substitutes (ND),1.62803515
PHILIPPINES,Coffee and coffee substitutes (ND),1.62803515
PHILIPPINES,"Tea, maté and other plant products for infusion (ND)",0.00801413
PHILIPPINES,"Tea, maté and other plant products for infusion (ND)",0.00801413
PHILIPPINES,Cocoa drinks (ND),0.53707906
PHILIPPINES,Cocoa drinks (ND),0.53707906
PHILIPPINES,Water (ND),0.52971074
PHILIPPINES,Water (ND),0.52971074
PHILIPPINES,Soft drinks (ND),0.52118367
PHILIPPINES,Soft drinks (ND),0.52118367
PHILIPPINES,Other non-alcoholic beverages (ND),0.04451625
PHILIPPINES,Other non-alcoholic beverages (ND),0.04451625
PHILIPPINES,ALCOHOLIC BEVERAGES AND TOBACCO,2.62780963
PHILIPPINES,ALCOHOLIC BEVERAGES,0.81039765
PHILIPPINES,Spirits and liquors (ND),0.51591693
PHILIPPINES,Spirits and liquors (ND),0.51591693
PHILIPPINES,Wine (ND),0.09690494
PHILIPPINES,Wine from other sources (ND),0.09690494
PHILIPPINES,Beer (ND),0.19757578
PHILIPPINES,Beer (ND),0.19757578
PHILIPPINES,TOBACCO,1.80410320
PHILIPPINES,Tobacco (ND),1.80410320
PHILIPPINES,Cigarettes (ND),1.76419410
PHILIPPINES,Cigars (ND),0.00480110
PHILIPPINES,Other tobacco products (ND),0.03510800
PHILIPPINES,OTHER VEGETABLE-BASED TOBACCO PRODUCTS,0.01330878
PHILIPPINES,Other vegetable-based tobacco products (ND),0.01330878
PHILIPPINES,Other vegetable-based tobacco products (ND),0.01330878
PHILIPPINES,NON-FOOD,42.44176674
PHILIPPINES,CLOTHING AND FOOTWEAR,2.53245126
PHILIPPINES,CLOTHING,2.05820935
PHILIPPINES,Clothing materials (SD),0.00638271
PHILIPPINES,Clothing materials (SD),0.00638271
PHILIPPINES,Garments (SD),2.03804346
PHILIPPINES,Garments for men or boys (SD),1.05441758
PHILIPPINES,Garments for women or girls (SD),0.95194945
PHILIPPINES,Garments for infants (0 to under 2 years) (SD),0.03167643
PHILIPPINES,Other articles of clothing and clothing accessories (SD),0.01249156
PHILIPPINES,Other articles of clothing (SD),0.01061481
PHILIPPINES,Clothing accessories (SD),0.00187675
PHILIPPINES,"Cleaning, repair, tailoring and hire of clothing (S)",0.00129162
PHILIPPINES,Cleaning of clothing (S),0.00021570
PHILIPPINES,"Repair, tailoring and hire of clothing (S)",0.00107592
PHILIPPINES,FOOTWEAR,0.47424191
PHILIPPINES,Shoes and other footwear (SD),0.47360072
PHILIPPINES,Footwear for men (SD),0.27323197
PHILIPPINES,Footwear for women (SD),0.20036875
PHILIPPINES,"Cleaning, repair, and hire of footwear (S)",0.00064119
PHILIPPINES,"Cleaning, repair, and hire of footwear (S)",0.00064119
PHILIPPINES,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",15.51595402
PHILIPPINES,ACTUAL RENTALS FOR HOUSING,4.01410200
PHILIPPINES,Actual rentals paid by tenants for main residence (S),4.01410200
PHILIPPINES,Actual rentals paid by tenants for main residence (S),4.01410200
PHILIPPINES,"MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",0.45844723
PHILIPPINES,Security equipment and materials for the maintenance and repair of the dwelling (ND),0.36827243
PHILIPPINES,Materials for the maintenance and repair of the dwelling (ND),0.36827243
PHILIPPINES,"Services for the maintenance, repair and security of the dwelling (S)",0.09017480
PHILIPPINES,"Services for the maintenance, repair and security of the dwelling (S)",0.09017480
PHILIPPINES,WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING,0.93256752
PHILIPPINES,Water supply (ND),0.93256752
PHILIPPINES,Water supply through network systems (ND),0.93256752
PHILIPPINES,"ELECTRICITY, GAS AND OTHER FUELS",10.11083727
PHILIPPINES,Electricity (ND),4.48666417
PHILIPPINES,Electricity (ND),4.48666417
PHILIPPINES,Gas (ND),1.33121292
PHILIPPINES,Liquefied hydrocarbons (ND),1.33121292
PHILIPPINES,Liquid fuels (ND),0.26987200
PHILIPPINES,Liquid fuels (ND),0.26987200
PHILIPPINES,Solid fuels (ND),4.02308818
PHILIPPINES,"Wood fuel, including pellets and briquettes (ND)",3.22500619
PHILIPPINES,Charcoal (ND),0.79808199
PHILIPPINES,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",2.35083112
PHILIPPINES,"FURNITURE, FURNISHINGS, AND LOOSE CARPETS",0.05889946
PHILIPPINES,"Furniture, furnishings and loose carpets (D)",0.05889946
PHILIPPINES,Household furniture (D),0.05564988
PHILIPPINES,"Furnishings, loose carpets and rugs (D)",0.00324958
PHILIPPINES,HOUSEHOLD TEXTILES,0.10441340
PHILIPPINES,Household textiles (SD),0.10441340
PHILIPPINES,Furnishing fabrics and curtains (SD),0.02196051
PHILIPPINES,Bed linen and bedding (SD),0.07946565
PHILIPPINES,Other household textiles (SD),0.00298724
PHILIPPINES,HOUSEHOLD APPLIANCES,0.24657256
PHILIPPINES,"Major household appliances, whether electric or not (D)",0.14911952
PHILIPPINES,Major kitchen appliances (D),0.08789263
PHILIPPINES,Major laundry appliances (D),0.06122689
PHILIPPINES,Small household appliances (SD),0.09087811
PHILIPPINES,Small appliances for cooking and processing of food (SD),0.01887901
PHILIPPINES,Other small household appliances (SD),0.07199910
PHILIPPINES,"Repair, installation and hire of household appliances (S)",0.00657493
PHILIPPINES,"Repair, installation and hire of household appliances (S)",0.00657493
PHILIPPINES,"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",0.05235798
PHILIPPINES,"Glassware, tableware and household utensils (SD)",0.05235798
PHILIPPINES,"Glassware, crystal-ware, ceramic ware and chinaware (SD)",0.05235798
PHILIPPINES,TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,0.00930504
PHILIPPINES,Non-motorized tools and miscellaneous accessories (SD),0.00930504
PHILIPPINES,Non-motorized tools (SD),0.00503997
PHILIPPINES,Miscellaneous accessories (SD),0.00426507
PHILIPPINES,GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,1.87928268
PHILIPPINES,Non-durable household goods (ND),1.87928268
PHILIPPINES,Household cleaning and maintenance products (ND),0.66350851
PHILIPPINES,Other non-durable household goods (ND),1.21577417
PHILIPPINES,HEALTH,1.43723043
PHILIPPINES,MEDICINES AND HEALTH PRODUCTS,1.20934826
PHILIPPINES,Medicines (ND),1.17731768
PHILIPPINES,"Medicines, vaccines and other pharmaceutical preparations (ND)",1.17731768
PHILIPPINES,Medical products (ND),0.01824756
PHILIPPINES,Medical diagnostic products (ND),0.00401696
PHILIPPINES,Prevention and protective devices (ND),0.01091944
PHILIPPINES,Treatment devices for personal use (ND),0.00331116
PHILIPPINES,Assistive products (D),0.01378302
PHILIPPINES,Assistive products for vision (D),0.01378302
PHILIPPINES,OUTPATIENT CARE SERVICES,0.10110014
PHILIPPINES,Preventive care services (S),0.09071582
PHILIPPINES,Other preventive services (S),0.09071582
PHILIPPINES,Outpatient dental services (S),0.01038432
PHILIPPINES,Dental preventive services (S),0.01038432
PHILIPPINES,INPATIENT CARE SERVICES,0.10754704
PHILIPPINES,Inpatient curative and rehabilitative services (S),0.10754704
PHILIPPINES,Inpatient curative and rehabilitative services (S),0.10754704
PHILIPPINES,OTHER HEALTH SERVICES,0.01923499
PHILIPPINES,Diagnostic imaging services and medical laboratory services (S),0.01923499
PHILIPPINES,Diagnostic imaging services and medical laboratory services (S),0.01923499
PHILIPPINES,TRANSPORT,6.12251695
PHILIPPINES,PURCHASE OF VEHICLES,0.67372130
PHILIPPINES,Motorcycles (D),0.66806488
PHILIPPINES,Motorcycles (D),0.66806488
PHILIPPINES,Bicycles (D),0.00565642
PHILIPPINES,Bicycles (D),0.00565642
PHILIPPINES,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,1.73105329
PHILIPPINES,Parts and accessories for personal transport equipment (SD),0.06053212
PHILIPPINES,Tires (SD),0.05644106
PHILIPPINES,Parts for personal transport equipment (SD),0.00409106
PHILIPPINES,Fuels and lubricants for personal transport equipment (ND),1.59299570
PHILIPPINES,Diesel (ND),0.05931721
PHILIPPINES,Gasoline (ND),1.51920800
PHILIPPINES,Lubricants (ND),0.01447049
PHILIPPINES,Maintenance and repair of personal transport equipment (S),0.07690527
PHILIPPINES,Maintenance and repair of personal transport equipment (S),0.07690527
PHILIPPINES,Other services in respect of personal transport equipment (S),0.00062020
PHILIPPINES,Toll facilities (S),0.00062020
PHILIPPINES,PASSENGER TRANSPORT SERVICES,3.71699431
PHILIPPINES,Passenger transport by railway (S),0.00246069
PHILIPPINES,Passenger transport by rapid transit and tram (S),0.00246069
PHILIPPINES,Passenger transport by road (S),3.49616085
PHILIPPINES,Passenger transport by bus and coach (S),0.31017056
PHILIPPINES,Passenger transport by taxi and hired car with driver (S),0.02258100
PHILIPPINES,Other passenger transport by road (S),3.16340929
PHILIPPINES,Passenger transport by air (S),0.04998547
PHILIPPINES,"Passenger transport by air, domestic (S)",0.04998547
PHILIPPINES,Passenger transport by sea and inland waterway (S),0.16838730
PHILIPPINES,Passenger transport by sea and inland waterway (S),0.16838730
PHILIPPINES,TRANSPORT SERVICES OF GOODS,0.00074805
PHILIPPINES,Postal and courier services (S),0.00074805
PHILIPPINES,Letter handling services (S),0.00035398
PHILIPPINES,Courier and parcel delivery services (S),0.00039407
PHILIPPINES,INFORMATION AND COMMUNICATION,1.04502735
PHILIPPINES,INFORMATION AND COMMUNICATION EQUIPMENT,0.06744950
PHILIPPINES,Mobile telephone equipment (D),0.01073519
PHILIPPINES,Mobile telephone equipment (D),0.01073519
PHILIPPINES,Information processing equipment (D),0.00110483
PHILIPPINES,"Computers, laptops and tablets (D)",0.00065135
PHILIPPINES,Peripheral equipment and its consumable components (D),0.00045348
PHILIPPINES,"Equipment for the reception, recording and reproduction of sound and vision (D)",0.04512652
PHILIPPINES,"Equipment for the reception, recording and reproduction of sound and vision (D)",0.04512652
PHILIPPINES,Unrecorded recording media (SD),0.01048296
PHILIPPINES,Unrecorded recording media (SD),0.01048296
PHILIPPINES,INFORMATION AND COMMUNICATION SERVICES,0.97757785
PHILIPPINES,Fixed communication services (S),0.00870157
PHILIPPINES,Fixed communication services (S),0.00870157
PHILIPPINES,Mobile communication services (S),0.92761273
PHILIPPINES,Mobile communication services (S),0.92761273
PHILIPPINES,Internet access provision services and net storage services (S),0.04126355
PHILIPPINES,Internet access provision services and net storage services (S),0.04126355
PHILIPPINES,"RECREATION, SPORT AND CULTURE",0.74401629
PHILIPPINES,OTHER RECREATIONAL GOODS,0.04853137
PHILIPPINES,"Games, toys and hobbies (SD)",0.04803238
PHILIPPINES,"Other games, toys and hobbies (SD)",0.04803238
PHILIPPINES,"Equipment for sport, camping and open-air recreation (SD)",0.00049899
PHILIPPINES,Equipment for sport (SD),0.00049899
PHILIPPINES,GARDEN PRODUCTS AND PETS,0.02401659
PHILIPPINES,"Garden products, plants and flowers (ND)",0.00693406
PHILIPPINES,Garden products (ND),0.00426461
PHILIPPINES,"Plants, seeds and flowers (ND)",0.00266945
PHILIPPINES,Pets and products for pets (ND),0.01708253
PHILIPPINES,Products for pets and other household animals (ND),0.01708253
PHILIPPINES,RECREATIONAL SERVICES,0.08810392
PHILIPPINES,Recreational and sporting services (S),0.00041231
PHILIPPINES,Sporting services - practice (S),0.00041231
PHILIPPINES,Games of chance (S),0.08769161
PHILIPPINES,Games of chance (S),0.08769161
PHILIPPINES,CULTURAL GOODS,0.00012077
PHILIPPINES,Musical instruments (D),0.00012077
PHILIPPINES,Musical instruments (D),0.00012077
PHILIPPINES,CULTURAL SERVICES,0.05605763
PHILIPPINES,Other cultural services (S),0.05605763
PHILIPPINES,Other cultural services (S),0.05605763
PHILIPPINES,"NEWSPAPERS, BOOKS AND STATIONERY",0.52701896
PHILIPPINES,Books (SD),0.00112793
PHILIPPINES,Educational and textbooks in printed or electronic copy (SD),0.00080530
PHILIPPINES,Other books (SD) in printed or electronic copy,0.00032263
PHILIPPINES,Newspapers and periodicals (ND),0.00057351
PHILIPPINES,Newspapers (ND),0.00057351
PHILIPPINES,Stationery and drawing materials (ND),0.52531752
PHILIPPINES,Stationery and drawing materials (ND),0.52531752
PHILIPPINES,PACKAGE HOLIDAYS (S),0.00016705
PHILIPPINES,Package holidays (S),0.00016705
PHILIPPINES,Package holidays (S),0.00016705
PHILIPPINES,EDUCATION SERVICES,0.36570157
PHILIPPINES,EARLY CHILDHOOD AND PRIMARY EDUCATION,0.08274060
PHILIPPINES,Early chilhood and primary education (S),0.08274060
PHILIPPINES,Early childhood education services (S),0.02166032
PHILIPPINES,Primary education (S),0.06108028
PHILIPPINES,SECONDARY EDUCATION  (S),0.13041701
PHILIPPINES,Secondary education (S),0.13041701
PHILIPPINES,Lower secondary general education services,0.12136505
PHILIPPINES,Lower secondary technical-vocational livelihood programs services,0.00905196
PHILIPPINES,TERTIARY EDUCATION (S),0.15254396
PHILIPPINES,Tertiary education (s),0.15254396
PHILIPPINES,Tertiary education (s),0.15254396
PHILIPPINES,RESTAURANTS AND ACCOMMODATION SERVICES,7.48386807
PHILIPPINES,FOOD AND BEVERAGE SERVING SERVICES,7.48008547
PHILIPPINES,"Restaurants, café and the like (S)",7.48008547
PHILIPPINES,"Restaurants, café and the like - with full service (S)",7.48008547
PHILIPPINES,ACCOMMODATION SERVICES,0.00378260
PHILIPPINES,Accommodation services (S),0.00378260
PHILIPPINES,"Hotels, motels, inns and similar accommodation services (S)",0.00378260
PHILIPPINES,FINANCIAL SERVICES,0.00027693
PHILIPPINES,FINANCIAL SERVICES,0.00027693
PHILIPPINES,Financial intermediation services indirectly measured (S),0.00027310
PHILIPPINES,Financial intermediation services indirectly measured (S),0.00027310
PHILIPPINES,Other financial services (S),0.00000383
PHILIPPINES,Remittances fees (S),0.00000383
PHILIPPINES,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",4.84389275
PHILIPPINES,PERSONAL CARE,4.43316486
PHILIPPINES,Electric appliances for personal care (SD),0.00003800
PHILIPPINES,Electric appliances for personal care (SD),0.00003800
PHILIPPINES,"Other appliances, articles and products for personal care (ND)",3.89934108
PHILIPPINES,"Other appliances, articles and products for personal care (ND)",3.89934108
PHILIPPINES,Hairdressing salons and personal grooming establishments (S),0.53378578
PHILIPPINES,Hairdressing (S),0.28972061
PHILIPPINES,Personal grooming treatments (S),0.24406517
PHILIPPINES,OTHER PERSONAL EFFECTS,0.34522277
PHILIPPINES,Jewellery and watches (D),0.01128844
PHILIPPINES,Jewellery and watches (D),0.01009185
PHILIPPINES,"Repair and hire of jewellery, clocks and watches (S)",0.00119659
PHILIPPINES,Other personal effects n.e.c. (SD),0.33393433
PHILIPPINES,Travel goods and articles for babies and other personal effects n.e.c. (SD),0.33393433
PHILIPPINES,OTHER SERVICES,0.06550512
PHILIPPINES,Other services (S),0.06550512
PHILIPPINES,Other services n.e.c. (S),0.06550512
NCR,ALL ITEMS,3.99551916
NCR,FOOD AND NON-ALCOHOLIC BEVERAGES,1.74077253
NCR,FOOD,1.57343367
NCR,Cereals and cereal products (ND),0.57801320
NCR,Cereals (ND),0.41402732
NCR,Rice,0.41134144
NCR,Corn,0.00268588
NCR,"Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",0.16398588
NCR,Flour of cereals (ND),0.00183021
NCR,Bread and bakery products (ND),0.11763721
NCR,Breakfast cereals (ND),0.00091460
NCR,"Macaroni, noodles, couscous and similar pasta products (ND)",0.02983359
NCR,Other cereal and grain mill products (ND),0.01377027
NCR,Meat and other parts of slaughtered land animals (ND),0.29775404
NCR,"Meat, fresh, chilled or frozen (ND)",0.22654447
NCR,"Meat, dried, salted, in brine or smoked (ND)",0.00128193
NCR,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",0.00500273
NCR,"Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",0.06492491
NCR,Fish and other seafood (ND),0.24091537
NCR,"Fish, live, fresh, chilled or frozen (ND)",0.18839335
NCR,"Fish, dried, salted, in brine or smoked (ND)",0.01433119
NCR,Fish preparations (ND),0.02678887
NCR,"Other seafood, live, fresh, chilled or frozen (ND)",0.01072270
NCR,Other seafood preparations (ND),0.00067926
NCR,"Milk, other dairy products and eggs (ND)",0.13827913
NCR,Raw and whole milk (ND),0.00136347
NCR,Other milk and cream (ND),0.06477051
NCR,Non-animal milk (ND),0.00120758
NCR,Cheese (ND),0.00444584
NCR,Yoghurt and similar products (ND),0.00087080
NCR,Milk-based dessert and beverages (ND),0.00297328
NCR,Eggs (ND),0.06264765
NCR,Oils and fats (ND),0.02834471
NCR,Vegetable oils (ND),0.02528152
NCR,Butter and other fats and oils derived from milk (ND),0.00039067
NCR,Margarine and similar preparations (ND),0.00267252
NCR,Other animal oils and fats (ND),..
NCR,Fruits and nuts (ND),0.05173259
NCR,"Dates, figs and tropical fruits, fresh (ND)",0.05036984
NCR,"Citrus fruits, fresh (ND)",..
NCR,"Fruit, dried and dehydrated (ND)",..
NCR,"Nuts, in shell or shelled (ND)",..
NCR,Fruit and nuts ground and other preparations (ND),0.00136275
NCR,"Vegetables, tubers, plantains, cooking bananas and pulses (ND)",0.12193444
NCR,"Leafy or stem vegetables, fresh or chilled (ND)",0.03783971
NCR,"Fruit-bearing vegetables, fresh or chilled (ND)",0.04233454
NCR,"Other vegetables, fresh or chilled (ND)",0.02936432
NCR,"Tubers, plantains and cooking bananas (ND)",0.00949635
NCR,"Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",0.00289952
NCR,"Sugar, confectionery and desserts (ND)",0.04258474
NCR,Cane and beet sugar (ND),0.01447639
NCR,"Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",0.00046962
NCR,"Nut purée, nut butter and nut pastes (ND)",0.00710361
NCR,"Chocolate, cocoa, and cocoa-based food products (ND)",0.00435853
NCR,"Ice, ice cream and sorbet (ND)",0.01247650
NCR,Other sugar confectionery and desserts n.e.c. (ND),0.00370009
NCR,Ready-made food and other food products n.e.c. (ND),0.07387545
NCR,Baby food (ND),0.02735123
NCR,"Salt, condiments and sauces (ND)",0.03349839
NCR,"Spices, culinary herbs and seeds (ND)",0.01229043
NCR,Other food products n.e.c. (ND),0.00073540
NCR,NON-ALCOHOLIC BEVERAGES,0.16733886
NCR,Fruit and vegetable juices (ND),0.01369241
NCR,Fruit and vegetable juices (ND),0.01369241
NCR,Coffee and coffee substitutes (ND),0.08462135
NCR,Coffee and coffee substitutes (ND),0.08462135
NCR,"Tea, maté and other plant products for infusion (ND)",0.00008397
NCR,"Tea, maté and other plant products for infusion (ND)",0.00008397
NCR,Cocoa drinks (ND),0.02718126
NCR,Cocoa drinks (ND),0.02718126
NCR,Water (ND),0.02588380
NCR,Water (ND),0.02588380
NCR,Soft drinks (ND),0.01424309
NCR,Soft drinks (ND),0.01424309
NCR,Other non-alcoholic beverages (ND),0.00163298
NCR,Other non-alcoholic beverages (ND),0.00163298
NCR,ALCOHOLIC BEVERAGES AND TOBACCO,0.10670564
NCR,ALCOHOLIC BEVERAGES,0.03205125
NCR,Spirits and liquors (ND),0.01400446
NCR,Spirits and liquors (ND),0.01400446
NCR,Wine (ND),..
NCR,Wine from other sources (ND),..
NCR,Beer (ND),0.01804679
NCR,Beer (ND),0.01804679
NCR,TOBACCO,0.07465439
NCR,Tobacco (ND),0.07465439
NCR,Cigarettes (ND),0.07465439
NCR,Cigars (ND),..
NCR,Other tobacco products (ND),..
NCR,OTHER VEGETABLE-BASED TOBACCO PRODUCTS,..
NCR,Other vegetable-based tobacco products (ND),..
NCR,Other vegetable-based tobacco products (ND),..
NCR,NON-FOOD,2.14804099
NCR,CLOTHING AND FOOTWEAR,0.08068036
NCR,CLOTHING,0.05759302
NCR,Clothing materials (SD),..
NCR,Clothing materials (SD),..
NCR,Garments (SD),0.05735043
NCR,Garments for men or boys (SD),0.02972806
NCR,Garments for women or girls (SD),0.02467110
NCR,Garments for infants (0 to under 2 years) (SD),0.00295127
NCR,Other articles of clothing and clothing accessories (SD),0.00024259
NCR,Other articles of clothing (SD),0.00020600
NCR,Clothing accessories (SD),0.00003659
NCR,"Cleaning, repair, tailoring and hire of clothing (S)",..
NCR,Cleaning of clothing (S),..
NCR,"Repair, tailoring and hire of clothing (S)",..
NCR,FOOTWEAR,0.02308734
NCR,Shoes and other footwear (SD),0.02308194
NCR,Footwear for men (SD),0.01409901
NCR,Footwear for women (SD),0.00898293
NCR,"Cleaning, repair, and hire of footwear (S)",0.00000540
NCR,"Cleaning, repair, and hire of footwear (S)",0.00000540
NCR,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",0.89840168
NCR,ACTUAL RENTALS FOR HOUSING,0.49777402
NCR,Actual rentals paid by tenants for main residence (S),0.49777402
NCR,Actual rentals paid by tenants for main residence (S),0.49777402
NCR,"MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",0.01180957
NCR,Security equipment and materials for the maintenance and repair of the dwelling (ND),0.00948825
NCR,Materials for the maintenance and repair of the dwelling (ND),0.00948825
NCR,"Services for the maintenance, repair and security of the dwelling (S)",0.00232132
NCR,"Services for the maintenance, repair and security of the dwelling (S)",0.00232132
NCR,WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING,0.10992071
NCR,Water supply (ND),0.10992071
NCR,Water supply through network systems (ND),0.10992071
NCR,"ELECTRICITY, GAS AND OTHER FUELS",0.27889738
NCR,Electricity (ND),0.19431282
NCR,Electricity (ND),0.19431282
NCR,Gas (ND),0.06733812
NCR,Liquefied hydrocarbons (ND),0.06733812
NCR,Liquid fuels (ND),0.00651907
NCR,Liquid fuels (ND),0.00651907
NCR,Solid fuels (ND),0.01072737
NCR,"Wood fuel, including pellets and briquettes (ND)",..
NCR,Charcoal (ND),0.01072737
NCR,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.08823092
NCR,"FURNITURE, FURNISHINGS, AND LOOSE CARPETS",..
NCR,"Furniture, furnishings and loose carpets (D)",..
NCR,Household furniture (D),..
NCR,"Furnishings, loose carpets and rugs (D)",..
NCR,HOUSEHOLD TEXTILES,0.00159749
NCR,Household textiles (SD),0.00159749
NCR,Furnishing fabrics and curtains (SD),0.00041497
NCR,Bed linen and bedding (SD),0.00111254
NCR,Other household textiles (SD),0.00006998
NCR,HOUSEHOLD APPLIANCES,0.01079073
NCR,"Major household appliances, whether electric or not (D)",0.00712219
NCR,Major kitchen appliances (D),0.00256860
NCR,Major laundry appliances (D),0.00455359
NCR,Small household appliances (SD),0.00346081
NCR,Small appliances for cooking and processing of food (SD),0.00089787
NCR,Other small household appliances (SD),0.00256294
NCR,"Repair, installation and hire of household appliances (S)",0.00020773
NCR,"Repair, installation and hire of household appliances (S)",0.00020773
NCR,"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",0.00038814
NCR,"Glassware, tableware and household utensils (SD)",0.00038814
NCR,"Glassware, crystal-ware, ceramic ware and chinaware (SD)",0.00038814
NCR,TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,0.00003755
NCR,Non-motorized tools and miscellaneous accessories (SD),0.00003755
NCR,Non-motorized tools (SD),0.00001502
NCR,Miscellaneous accessories (SD),0.00002253
NCR,GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,0.07541701
NCR,Non-durable household goods (ND),0.07541701
NCR,Household cleaning and maintenance products (ND),0.01885426
