Geolocation,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
..Zambales,120105.84,128034.6,116354.82,128293.62,152668.09,166988.28,120105.84,128845.75,114897.69,120024.72,131441.84,136057.51
..City of Angeles,253286.51,265760.97,218243.35,232170.89,259810.04,280778.64,253286.51,257793.13,215194.77,226120.96,239939.77,249101.4
..City of Olongapo,208591.59,222463.37,182344.25,197159.6,230041.39,258305.04,208591.59,218881.62,179878.05,193357.24,211021.93,225681.73
Region IV-A (CALABARZON),175562.91,182039.77,159747.94,170281.31,188554.92,202851.46,175562.91,179867.8,157837.52,166794.08,176674.83,182730.7
..Batangas,191776.82,204696.3,170591.89,188526.87,210698.37,224745.37,191776.82,200689.06,167594.83,184037.98,193383.25,197984.27
..Cavite,170572.76,174006.97,144292.69,159851.42,177455.51,193464.94,170572.76,171456.31,141692.13,155521.09,166368.98,174059.59
..Laguna,282405.37,289862.69,264649.52,270648.76,296634.65,313696.92,282405.37,287284.21,265531.8,271557.28,287209.75,294388.09
..Quezon,101951.38,104464.49,99861.29,109035.16,121486.46,131976.07,101951.38,104224.43,96644.98,101438.98,108172.61,112898.01
..Rizal,102711.63,108320.67,98347.04,100881.07,111728.3,122487.06,102711.63,107488.85,96367.92,97714.9,102583.3,106772.93
..City of Lucena,158321.57,164770.73,148086.46,156468.48,173858.35,196136.89,158321.57,163788.77,144997.8,149370.79,159098.82,171426.48
MIMAROPA Region,119813.2,119786.06,107924,119142.22,139511.88,143912.82,119813.2,123356.17,112691.82,115099.85,120999.38,125389.74
..Marinduque,86960.76,90499.4,83357.63,91301.53,100552.12,111105.18,86960.76,90289.43,80405.95,84756.94,88763.25,93347.52
..Occidental Mindoro,91827.88,89667.31,86936.11,97121.25,106924.11,118955.81,91827.88,93169.38,88433.47,95844.8,100168.8,103209.22
..Oriental Mindoro,112110.18,112564.7,100948.51,110979.98,125029.28,139031.82,112110.18,116877.57,105237.07,110956.97,118822.6,123645.2
