Commodity,Item,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mongo,..Irrigation fee paid in kind,2,3,3,3,3,3,3,3,4,5,5,5,5,7,7,6,6,7,7,7,6.96,7.36,7.31,7.29
Mongo,IMPUTED COSTS,2765,3402,3628,3434,3545,3814,3801,4028,4356,4648,4856,5070,5316,5940,6240,6524.63,6981.25,7539.17,8147,8520,8955.19,9795.5,10621.21,11334.49
Mongo,..Operator/family labor,1462,2035,2187,2088,2089,2157,2235,2331,2467,2571,2672,2705,2750,2928,3060,3262,3439,3674,3947,4067,4130.93,4512.69,4878.38,5149.1
Mongo,..Exchange labor,25,34,37,36,36,37,38,40,42,44,46,47,48,51,53,57,60,64,69,71,72.22,78.89,85.28,90.01
Mongo,..Depreciation,530,583,641,705,776,854,939,1033,1136,1250,1375,1513,1664,1830,2013,2214,2435,2679,2947,3242,3565.87,3922.46,4314.7,4746.17
Mongo,..Interest on operating capital,382,379,401,271,310,230,247,275,295,293,266,274,273,280,246,210.63,226.25,227.17,242,246,250.13,290.75,359.59,368.6
Mongo,..Rental value of owned land,366,371,362,334,334,355,342,349,416,490,497,531,581,851,868,781,821,895,942,894,936.03,990.72,983.26,980.61
Mongo,ALL  COSTS,7557,8292,8673,8462,8620,9078,9074,9553,10413,11140,11508,12046,12562,14547,15157,15304.63,16218.25,17348.17,18556,18896,19691.51,21280.43,22552,23554.31
Mongo,GROSS RETURNS,17101,17681,17007,14643,15117,16074,15075,15353,18607,21461,22350,23781,25089,34634,38096,34390,36850,40399,46105,44395,47609,52719.45,51547.08,52369.13
Mongo,RETURNS ABOVE CASH COST,13492,14006,13138,10737,11157,11994,10930,10979,13928,16570,17344,18557,19723,28687,31991,28153,30310,33538,38925,37111,40147.84,44785.18,43119.8,43681.92
Mongo,RETURNS ABOVE CASH AND NON-CASH COSTS,12309,12791,11962,9615,10042,10810,9802,9828,12550,14969,15698,16805,17843,26027,29179,25610,27613,30590,35696,34019,36872.67,41234.51,39616.3,40149.31
Mongo,NET RETURNS,9544,9389,8334,6181,6497,6996,6001,5800,8194,10321,10842,11735,12527,20087,22939,19085.37,20631.75,23050.83,27549,25499,27917.49,31439.01,28995.09,28814.82
Mongo,NET PROFIT-COST RATIO,1.26,1.13,0.96,0.73,0.75,0.77,0.66,0.61,0.79,0.93,0.94,0.97,1,1.38,1.51,1.25,1.27,1.33,1.48,1.35,1.42,1.48,1.29,1.22
Mongo,Cost per kilogram (pesos),10.02,11,11.67,12.19,11.52,12.12,12.43,13.1,14.05,15.34,15.45,16.23,17.54,21.55,20.82,20.97,21.8,23.19,22.88,22.95,23.36,24.13,25.96,26.62
Mongo,Yield per hectare (kg),754,754,743,694,748,749,730,729,741,726,745,742,716,675,728,730,744,748,811,823,842.79,881.74,868.67,884.91
Mongo,Farmgate price (pesos/kg),22.68,23.45,22.89,21.1,20.21,21.46,20.65,21.06,25.11,29.56,30,32.05,35.04,51.31,52.33,47.11,49.53,54.01,56.85,53.93,56.49,59.79,59.34,59.18
Peanut,CASH COSTS,7443,9131,9582,9889,10073,10293,10733,11417,12332,12847,13428,13910,14554,14415,15158,16135,16849,17819,18938,19261,19565.52,21068.66,22475.77,23346.49
Peanut,..Seeds/Planting materials,815,816,768,917,968,945,1012,1124,1302,1329,1446,1312,1816,1530,1661,1777,1850,1928,2101,2021,2024.51,2100.48,2179.56,2145.97
Peanut,..Fertilizers,181,195,174,187,224,221,275,372,463,460,488,791,576,523,555,639,605,581,569,541,520.17,542.56,570.15,511.6
Peanut,..Pesticides,21,32,35,36,36,37,36,39,38,37,35,34,34,38,34,34,36,36,36,36,33.05,31.75,36.7,34.2
Peanut,..Hired labor,4619,6226,6688,6752,6755,6975,7227,7536,7975,8311,8638,8745,8891,9039,9447,10071,10619,11345,12187,12557,12754.93,13933.65,15062.79,15898.67
Peanut,..Land tax,193,195,197,199,201,203,205,207,209,211,213,215,217,219,221,223,225,227,229,231,233.6,235.94,238.3,240.68
Peanut,..Rentals,289,298,297,310,320,320,338,365,408,420,449,426,525,474,508,539,564,598,648,640,644.91,683.3,721.28,731.81
Peanut,..Fuel and oil,89,93,102,118,128,128,141,160,188,221,228,267,246,279,315,335,335,345,315,302,318.3,340.42,343.07,333.16
Peanut,..Irrigation fee,29,30,28,33,35,34,36,40,46,47,51,46,64,54,59,63,66,69,75,72,72.27,74.98,77.8,76.61
Peanut,..Interest payment on crop loan,97,107,114,119,126,130,143,157,173,190,209,230,253,278,306,337,371,408,449,494,543.29,597.62,657.38,723.12
Peanut,..Transport of inputs,47,60,64,74,86,87,90,101,120,135,136,150,143,151,164,168,169,171,171,169,177.11,188.8,190.78,196.89
Peanut,..Food expense,444,453,476,485,504,513,525,558,594,627,648,736,780,804,837,856,880,942,967,984,1014.96,1082.1,1101.28,1131.8
Peanut,..Repairs,619,626,639,659,690,700,705,758,816,859,887,958,1009,1026,1051,1093,1129,1169,1191,1213,1228.43,1257.04,1296.67,1321.99
Peanut,NON-CASH COSTS,1676,1681,1522,1682,1759,1718,1848,2161,2509,2557,2787,2532,3485,2953,3189,3431,3562,3711,4022,3867,3938.58,4068.02,4219.67,4152.62
Peanut,..Seeds/planting materials paid in kind,1044,1045,983,1060,1119,1093,1170,1299,1504,1536,1671,1516,2098,1768,1919,2053,2137,2227,2426,2333,2337.67,2425.4,2516.71,2477.92
Peanut,..Hired labor paid in kind,28,38,41,41,41,42,44,46,49,51,53,54,55,56,59,62,65,71,76,78,79.54,86.89,93.93,99.15
Peanut,..Landlord's share,391,392,369,398,420,410,439,487,564,576,627,569,787,663,720,770,802,836,911,876,877.83,910.78,945.06,930.5
Peanut,..Harvester's share,213,206,129,183,179,173,195,329,392,394,436,393,545,466,491,546,558,577,609,579,643.53,644.95,663.96,645.06
Peanut,..Irrigation fee paid in kind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peanut,IMPUTED COSTS,4107,5250,5525,5297,5534,5417,5743,6159,6675,6939,7229,7310,7954,7797,8194,8588,9129,9837,10657,11026,11398.59,12455.27,13610.81,14375.38
Peanut,..Operator/family labor,1940,2718,2920,2948,2949,3045,3155,3290,3481,3628,3771,3818,3882,3947,4148,4336,4572,4982,5352,5515,5601.41,6119.05,6614.92,6982
Peanut,..Exchange labor,44,103,110,111,111,115,119,124,131,137,142,144,146,148,156,163,172,187,201,207,210.37,229.81,248.43,262.22
Peanut,..Depreciation,442,486,535,589,648,713,784,862,948,1043,1147,1262,1388,1527,1680,1848,2033,2236,2460,2706,2976.6,3274.26,3601.69,3961.85
Peanut,..Interest on operating capital,902,1163,1226,857,990,728,811,913,992,984,921,953,970,854,776,707,755,768,831,855,863.23,1019.59,1264.97,1317.5
Peanut,..Rental value of owned land,779,780,734,792,836,816,874,970,1123,1147,1248,1133,1568,1321,1434,1534,1597,1664,1813,1744,1746.99,1812.55,1880.79,1851.8
Peanut,ALL  COSTS,13226,16062,16629,16868,17366,17428,18324,19737,21516,22343,23444,23752,25993,25165,26541,28154,29540,31367,33617,34154,34902.69,37591.95,40306.24,41874.49
Peanut,GROSS RETURNS,31604,48031,13710,19429,19031,18347,20658,34860,41580,41786,46267,41758,57962,49525,52179,57998,59230,61294,64734,61571,68405,68555.44,70575.84,68566.56
Peanut,RETURNS ABOVE CASH COST,24161,38900,4128,9540,8958,8054,9925,23443,29248,28939,32839,27848,43408,35110,37021,41863,42381,43475,45796,42310,48839.48,47486.78,48100.07,45220.07
Peanut,RETURNS ABOVE CASH AND NON-CASH COSTS,22485,37219,2606,7858,7199,6336,8077,21282,26739,26382,30052,25316,39923,32157,33832,38432,38819,39764,41774,38443,44900.9,43418.76,43880.4,41067.44
Peanut,NET RETURNS,18378,31969,-2919,2561,1665,919,2334,15123,20064,19443,22823,18006,31969,24360,25638,29844,29690,29927,31117,27417,33502.31,30963.49,30269.59,26692.07
Peanut,NET PROFIT-COST RATIO,1.39,1.99,-0.18,0.15,0.1,0.05,0.13,0.77,0.93,0.87,0.97,0.76,1.23,0.97,0.97,1.06,1.01,0.95,0.93,0.8,0.96,0.82,0.75,0.64
Peanut,Cost per kilogram (pesos),6.52,5.29,18.04,15.42,17.11,17.39,17.39,12.32,13.04,13.76,14.18,14.45,15.76,15.05,16.35,16.7,17.86,19.09,21.11,21.69,19.99,22.28,24.08,25.36
Peanut,Yield per hectare (kg),2029,3038,922,1094,1015,1002,1054,1602,1650,1624,1653,1644,1649,1672,1623,1686,1654,1643,1592,1575,1746.35,1686.9,1673.6,1651.41
Peanut,Farmgate price (pesos/kg),15.58,15.81,14.87,17.76,18.75,18.31,19.6,21.76,25.2,25.73,27.99,25.4,35.15,29.62,32.15,34.4,35.81,37.31,40.65,39.1,39.17,40.64,42.17,41.52
