Country,1991 Total Trade,1991 Imports,1991 Exports,1991 Balance of Trade,1992 Total Trade,1992 Imports,1992 Exports,1992 Balance of Trade,1993 Total Trade,1993 Imports,1993 Exports,1993 Balance of Trade,1994 Total Trade,1994 Imports,1994 Exports,1994 Balance of Trade,1995 Total Trade,1995 Imports,1995 Exports,1995 Balance of Trade,1996 Total Trade,1996 Imports,1996 Exports,1996 Balance of Trade,1997 Total Trade,1997 Imports,1997 Exports,1997 Balance of Trade,1998 Total Trade,1998 Imports,1998 Exports,1998 Balance of Trade,1999 Total Trade,1999 Imports,1999 Exports,1999 Balance of Trade,2000 Total Trade,2000 Imports,2000 Exports,2000 Balance of Trade,2001 Total Trade,2001 Imports,2001 Exports,2001 Balance of Trade,2002 Total Trade,2002 Imports,2002 Exports,2002 Balance of Trade,2003 Total Trade,2003 Imports,2003 Exports,2003 Balance of Trade,2004 Total Trade,2004 Imports,2004 Exports,2004 Balance of Trade,2005 Total Trade,2005 Imports,2005 Exports,2005 Balance of Trade,2006 Total Trade,2006 Imports,2006 Exports,2006 Balance of Trade,2007 Total Trade,2007 Imports,2007 Exports,2007 Balance of Trade,2008 Total Trade,2008 Imports,2008 Exports,2008 Balance of Trade,2009 Total Trade,2009 Imports,2009 Exports,2009 Balance of Trade,2010 Total Trade,2010 Imports,2010 Exports,2010 Balance of Trade,2011 Total Trade,2011 Imports,2011 Exports,2011 Balance of Trade,2012 Total Trade,2012 Imports,2012 Exports,2012 Balance of Trade,2013 Total Trade,2013 Imports,2013 Exports,2013 Balance of Trade,2014 Total Trade,2014 Imports,2014 Exports,2014 Balance of Trade,2015 Total Trade,2015 Imports,2015 Exports,2015 Balance of Trade,2016 Total Trade,2016 Imports,2016 Exports,2016 Balance of Trade,2017 Total Trade,2017 Imports,2017 Exports,2017 Balance of Trade,2018 Total Trade,2018 Imports,2018 Exports,2018 Balance of Trade,2019 Total Trade,2019 Imports,2019 Exports,2019 Balance of Trade,2020 Total Trade,2020 Imports,2020 Exports,2020 Balance of Trade,2021 Total Trade,2021 Imports,2021 Exports,2021 Balance of Trade,2022 Total Trade,2022 Imports,2022 Exports,2022 Balance of Trade,2023 Total Trade,2023 Imports,2023 Exports,2023 Balance of Trade,2024 Total Trade,2024 Imports,2024 Exports,2024 Balance of Trade,2025R Total Trade,2025R Imports,2025R Exports,2025R Balance of Trade,2026P Total Trade,2026P Imports,2026P Exports,2026P Balance of Trade
French Pacific Islands,19882,0,19882,19882,52311,0,52311,52311,101226,100286,940,-99346,95040,95040,0,-95040,43141,8538,34603,26065,29093,8241,20852,12611,237028,13320,223708,210388,162510,14010,148500,134490,138634,114609,24025,-90584,491240,121420,369820,248400,188810,47709,141101,93392,108877,26362,82515,56153,120290,33839,86451,52612,234034,31212,202822,171610,62013,0,62013,62013,6542,0,6542,6542,11093,0,11093,11093,5106,106,5000,4894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,853878,0,853878,853878,291307,0,291307,291307,493554,0,493554,493554,374110,0,374110,374110,1037414,0,1037414,1037414,306202,0,306202,306202,6825882,6363600,462282,-5901318,373317,0,373317,373317,1238694,0,1238694,1238694,256969,0,256969,256969,170659,0,170659,170659,166238,10921,155317,144396,163373,0,163373,163373,471790,136792,334998,198206,459288,74435,384853,310418,2515155,157957,2357198,2199241,904465,266947,637518,370571,853626,63183,790443,727260,327186,44741,282445,237704,572540,0,572540,572540,2096715,457850,1638865,1181015,305698,0,305698,305698,205010,156,204854,204698,250254,104,250150,250046,1990622,8340,1982282,1973942,8073511,6300583,1772928,-4527655,431721,11979,419742,407763,198669,2798,195871,193073,22471683,32572,22439111,22406539,264777,18172,246605,228433,176929,9955,166974,157019,357242,145004,212238,67234,494873,109633,385240,275607,1201043,819623,381420,-438203,911779,70274,841505,771231,159277,34653,124624,89971
French Southern Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,0,836,836,3000,0,3000,3000,0,0,0,0,0,0,0,0,25363,25363,0,-25363,24683,0,24683,24683,1368,0,1368,1368,52760,26140,26620,480,0,0,0,0,4700,0,4700,4700,1587,0,1587,1587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30973,0,30973,30973,17104,17104,0,-17104,87232,87232,0,-87232,2774,2774,0,-2774,4471,0,4471,4471,3726,0,3726,3726,30698,30598,100,-30498,1124,1124,0,-1124,1367,1367,0,-1367,13095,13095,0,-13095,10511,0,10511,10511,0,0,0,0,45181,45181,0,-45181,0,0,0,0
French West Indies,14015,0,14015,14015,370441,0,370441,370441,221341,0,221341,221341,38122,0,38122,38122,18664,0,18664,18664,96023,0,96023,96023,16902,0,16902,16902,0,0,0,0,15563,0,15563,15563,37978,0,37978,37978,28552,0,28552,28552,3754,0,3754,3754,15141,0,15141,15141,21174,0,21174,21174,11750,0,11750,11750,20191,0,20191,20191,5813,0,5813,5813,109021,0,109021,109021,12514,0,12514,12514,11668,0,11668,11668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,91330,0,91330,91330,0,0,0,0,2308315,2308315,0,-2308315,420599,420599,0,-420599,130194,130194,0,-130194,6322172,6307372,14800,-6292572,2713317,2713317,0,-2713317,96040,88460,7580,-80880,272236,272236,0,-272236,134701,123215,11486,-111729,65318,30187,35131,4944,47284,47284,0,-47284,232968,52164,180804,128640,23795,23393,402,-22991,154067,41335,112732,71397,0,0,0,0,159850,159850,0,-159850,233524,233524,0,-233524,130250,116150,14100,-102050,178500,15009,163491,148482,2345472,11816,2333656,2321840,281449,198336,83113,-115223,327709,65511,262198,196687,419303,323130,96173,-226957,218302,179119,39183,-139936,3788050,3711240,76810,-3634430,2556001,2480755,75246,-2405509,4365191,4350868,14323,-4336545,7725121,7716527,8594,-7707933,5182221,5180448,1773,-5178675,7343661,7339348,4313,-7335035,7522707,7515470,7237,-7508233,5645918,5643215,2703,-5640512,8942630,6746433,2196197,-4550236,4017360,3926536,90824,-3835712,2303034,2243748,59286,-2184462
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,2322,0,2322,2322,0,0,0,0,0,0,0,0,236930,236930,0,-236930,0,0,0,0,21529,21529,0,-21529,13421,13421,0,-13421,29961,29711,250,-29461,5362,2468,2894,426,0,0,0,0,0,0,0,0,0,0,0,0,250790,0,250790,250790,101675,0,101675,101675,34043,0,34043,34043,20182,0,20182,20182,27471,1269,26202,24933,104678,0,104678,104678,32931,3991,28940,24949,19425,0,19425,19425,59696,0,59696,59696,73659,3247,70412,67165,110315,1698,108617,106919,153091,700,152391,151691,54801,5900,48901,43001,72151,1927,70224,68297,41103,9116,31987,22871,20481,1404,19077,17673,8574,0,8574,8574,30714,2443,28271,25828,214593,4291,210302,206011,141330,1424,139906,138482,4328,772,3556,2784
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25108,25108,0,-25108,141246,122421,18825,-103596,0,0,0,0,24312,0,24312,24312,0,0,0,0,29181,28505,676,-27829,105596,44254,61342,17088,264276,121000,143276,22276,521761,40067,481694,441627,1033596,88848,944748,855900,759754,0,759754,759754,129380,4856,124524,119668,462618,25660,436958,411298,835855,472500,363355,-109145,1418144,1107346,310798,-796548,3925440,1400084,2525356,1125272,33125344,1447926,31677418,30229492,2504765,1796904,707861,-1089043,1397213,965700,431513,-534187,4574174,2699421,1874753,-824668,7506876,5878273,1628603,-4249670,5690020,3310924,2379096,-931828,3941241,1398981,2542260,1143279,3930404,2225831,1704573,-521258,810509,177241,633268,456027
Germany,967842770,465449472,502393298,36943826,1191699263,669916088,521783175,-148132913,1199473225,613469430,586003795,-27465635,1426325491,761061810,665263681,-95798129,1628409752,929288137,699121615,-230166522,2056227832,1209257426,846970406,-362287020,2240569068,1180294428,1060274640,-120019788,1857135797,822008009,1035127788,213119779,2029631546,800590063,1229041483,428451420,2099570752,770947546,1328623206,557675660,2115481113,792374413,1323106700,530732287,2202998683,816902930,1386095753,569192823,2255039611,1036447829,1218591782,182143953,2631446326,1195689469,1435756857,240067388,2480814483,1131450085,1349364398,217914313,3149357438,1368070294,1781287144,413216850,3393482436,1244135753,2149346683,905210930,3504198678,1064059340,2440139338,1376079998,3459617580,954020197,2505597383,1551577186,3769056503,1111794443,2657262060,1545467617,3149133963,1419376438,1729757525,310381087,3427793161,1471701453,1956091708,484390255,4688527088,2349647204,2338879884,-10767320,5374865389,2717514511,2657350878,-60163633,5232921396,2600516572,2632404824,31888252,4357221330,2027950119,2329271211,301321092,4647396696,1971776500,2675620196,703843696,5240980811,2455516523,2785464288,329947765,5552642662,2829398954,2723243708,-106155246,4343018277,1965833082,2377185195,411352113,4986338114,2047634350,2938703764,891069414,4731197673,1939687832,2791509841,851822009,4652037094,2165396328,2486640766,321244438,4617615347,2159370631,2458244716,298874085,5536160872,2180963464,3355197408,1174233944,2023170300,788623174,1234547126,445923952
Ghana,135196,85205,49991,-35214,124457,123377,1080,-122297,7067814,7032614,35200,-6997414,4336831,4266096,70735,-4195361,2502397,2372275,130122,-2242153,479648,364670,114978,-249692,4244096,3962406,281690,-3680716,730916,270622,460294,189672,783689,476840,306849,-169991,137242,17015,120227,103212,422228,0,422228,422228,288961,24447,264514,240067,517539,0,517539,517539,2643999,0,2643999,2643999,1009829,17917,991912,973995,3348925,43219,3305706,3262487,10000161,18202,9981959,9963757,11182676,102,11182574,11182472,10640852,39,10640813,10640774,13378262,486241,12892021,12405780,14789095,4106,14784989,14780883,11112401,5615,11106786,11101171,2370177,14306,2355871,2341565,2680638,93589,2587049,2493460,4515872,420150,4095722,3675572,5357252,715517,4641735,3926218,9155146,1701562,7453584,5752022,6048305,741426,5306879,4565453,6605484,977250,5628234,4650984,4275083,904311,3370772,2466461,4566567,285825,4280742,3994917,4114800,1049013,3065787,2016774,5658752,2016795,3641957,1625162,11687013,3328603,8358410,5029807,17557566,1407829,16149737,14741908,4725632,1090999,3634633,2543634
Gibraltar,45974,0,45974,45974,44313,0,44313,44313,63970,23616,40354,16738,41545,0,41545,41545,8036,2529,5507,2978,41149,0,41149,41149,992050,565281,426769,-138512,69678,52125,17553,-34572,418473,400043,18430,-381613,328937,1348,327589,326241,648691,512743,135948,-376795,609670,241585,368085,126500,169983,141053,28930,-112123,66720,0,66720,66720,9158,0,9158,9158,383617,0,383617,383617,193925,4903,189022,184119,6917626,6881036,36590,-6844446,446,446,0,-446,1450,0,1450,1450,2113,85,2028,1943,973,973,0,-973,917,0,917,917,21160,21160,0,-21160,860,0,860,860,2770,0,2770,2770,677186,676644,542,-676102,811546,800000,11546,-788454,38316,37081,1235,-35846,30140,30140,0,-30140,22347,0,22347,22347,1381,1381,0,-1381,1349,1349,0,-1349,390,390,0,-390,271434,271377,57,-271320,172,0,172,172
Gilbert And Ellice Islands,26914,0,26914,26914,0,0,0,0,35178,0,35178,35178,0,0,0,0,315580,61421,254159,192738,403964,361604,42360,-319244,98706,3906,94800,90894,29875,7490,22385,14895,539608,0,539608,539608,129924,129924,0,-129924,77844,77844,0,-77844,196976,178625,18351,-160274,653136,622303,30833,-591470,3438,180,3258,3078,0,0,0,0,6104,0,6104,6104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,9369371,2353325,7016046,4662721,6835072,1568419,5266653,3698234,6237059,826523,5410536,4584013,10411783,2373136,8038647,5665511,17971559,8732078,9239481,507403,12839362,4898025,7941337,3043312,12462667,2640172,9822495,7182323,11335024,2573429,8761595,6188166,15486995,8265627,7221368,-1044259,10198183,2780050,7418133,4638083,9086605,1908391,7178214,5269823,12538704,5457112,7081592,1624480,16063938,5206319,10857619,5651300,14132114,2347653,11784461,9436808,32272420,2625877,29646543,27020666,19959919,5866740,14093179,8226439,18493900,2013179,16480721,14467542,13377213,1559779,11817434,10257655,27536782,13298396,14238386,939990,47367031,2398434,44968597,42570163,16243398,2594363,13649035,11054672,35612061,3799202,31812859,28013657,14258784,5179220,9079564,3900344,16002145,10136980,5865165,-4271815,15793212,8396483,7396729,-999754,17046993,11627838,5419155,-6208683,14323805,8313485,6010320,-2303165,15528223,8492624,7035599,-1457025,15780058,9026527,6753531,-2272996,20375068,13122713,7252355,-5870358,51084670,31083316,20001354,-11081962,66403308,30530886,35872422,5341536,80351249,48251424,32099825,-16151599,91534103,41796506,49737597,7941091,82531191,48674474,33856717,-14817757,29793719,20514357,9279362,-11234995
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7224,0,7224,7224,0,0,0,0,12516,0,12516,12516,2744,0,2744,2744,0,0,0,0,4963,3553,1410,-2143,0,0,0,0,0,0,0,0,0,0,0,0,767,0,767,767,4119,0,4119,4119,0,0,0,0,58184,0,58184,58184,58775,58775,0,-58775,1127,0,1127,1127,1538,1538,0,-1538,383185,383185,0,-383185,0,0,0,0,24052,16200,7852,-8348,131,131,0,-131,48923,25301,23622,-1679,13728,13510,218,-13292,10348,10348,0,-10348,27967,13262,14705,1443,7765,4287,3478,-809
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,0,856,856,0,0,0,0,0,0,0,0,0,0,0,0,77618,0,77618,77618,0,0,0,0,0,0,0,0,0,0,0,0,29632,29632,0,-29632,3000,0,3000,3000,0,0,0,0,10000,0,10000,10000,2417,2417,0,-2417,5000,0,5000,5000,0,0,0,0,906,306,600,294,7134,7134,0,-7134,153365,0,153365,153365,22173,0,22173,22173,16548,0,16548,16548,23866,13289,10577,-2712,6093,1246,4847,3601,3870,0,3870,3870,37107,15000,22107,7107,12327,11704,623,-11081,12150,4860,7290,2430,155,155,0,-155,44719,17999,26720,8721,0,0,0,0,21592,12312,9280,-3032,65735,118,65617,65499
Guadeloupe,247325,0,247325,247325,83981,0,83981,83981,134939,0,134939,134939,58506,25925,32581,6656,29828,0,29828,29828,512175,13515,498660,485145,260353,0,260353,260353,255913,78,255835,255757,108008,0,108008,108008,695751,438731,257020,-181711,460669,339637,121032,-218605,388189,243002,145187,-97815,415081,100567,314514,213947,227173,0,227173,227173,233774,5866,227908,222042,167677,0,167677,167677,308715,0,308715,308715,212713,0,212713,212713,132021,0,132021,132021,34056,0,34056,34056,120229,0,120229,120229,141965,0,141965,141965,88314,0,88314,88314,209439,26,209413,209387,17907,24,17883,17859,63632,0,63632,63632,290910,6090,284820,278730,133947,0,133947,133947,139319,1421,137898,136477,37272,38,37234,37196,36567,590,35977,35387,81086,1127,79959,78832,74865,584,74281,73697,72933,0,72933,72933,125221,158,125063,124905,40466,0,40466,40466
Guatemala,166324,664,165660,164996,184549,0,184549,184549,427331,49878,377453,327575,326113,0,326113,326113,15256814,14937600,319214,-14618386,1664228,1362172,302056,-1060116,284910,66180,218730,152550,1593762,115352,1478410,1363058,639774,221039,418735,197696,777391,20821,756570,735749,1584027,110282,1473745,1363463,1302328,658159,644169,-13990,1278581,30205,1248376,1218171,1623510,134099,1489411,1355312,1433104,8321,1424783,1416462,3969454,100216,3869238,3769022,2650881,233828,2417053,2183225,2560251,239716,2320535,2080819,1941641,51319,1890322,1839003,25728625,24202924,1525701,-22677223,2233039,101159,2131880,2030721,2941692,292168,2649524,2357356,4287144,3500587,786557,-2714030,1302375,304660,997715,693055,2051315,892075,1159240,267165,2897087,1921450,975637,-945813,3976620,1740896,2235724,494828,5517962,3041644,2476318,-565326,6061080,3798028,2263052,-1534976,7107913,5663241,1444672,-4218569,9240180,6019526,3220654,-2798872,5409347,3125510,2283837,-841673,8224060,5233035,2991025,-2242010,19104483,15107331,3997152,-11110179,11556435,7469542,4086893,-3382649,2301422,1644734,656688,-988046
Guinea,4911,0,4911,4911,138936,0,138936,138936,7301,0,7301,7301,53963,45643,8320,-37323,34537,0,34537,34537,89526,0,89526,89526,0,0,0,0,105008,37415,67593,30178,18386,17600,786,-16814,104466,104466,0,-104466,43644,19512,24132,4620,166501,161717,4784,-156933,2191448,141500,2049948,1908448,2282040,0,2282040,2282040,51300,0,51300,51300,119704,0,119704,119704,5091743,0,5091743,5091743,74831,0,74831,74831,0,0,0,0,1330817,0,1330817,1330817,2849500,0,2849500,2849500,2369569,27974,2341595,2313621,92906,0,92906,92906,269457,2364,267093,264729,123118,0,123118,123118,596050,2656,593394,590738,642645,5027,637618,632591,1246267,115918,1130349,1014431,1004688,82131,922557,840426,557782,5530,552252,546722,335588,5338,330250,324912,712680,5475,707205,701730,618958,1724,617234,615510,109191,0,109191,109191,364502,11531,352971,341440,0,0,0,0
"Guinea-Bissau, Rep. of",531386,0,531386,531386,100,0,100,100,27520,0,27520,27520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10350,0,10350,10350,0,0,0,0,0,0,0,0,0,0,0,0,3900,0,3900,3900,1659407,9806,1649601,1639795,67,0,67,67,0,0,0,0,325527,0,325527,325527,1329961,0,1329961,1329961,0,0,0,0,0,0,0,0,21574,0,21574,21574,376613,0,376613,376613,175770,0,175770,175770,11084,0,11084,11084,25270,0,25270,25270,11983,932,11051,10119,10161,0,10161,10161,67420,0,67420,67420,0,0,0,0,9508,0,9508,9508,543,0,543,543,0,0,0,0,0,0,0,0,5818,5818,0,-5818,0,0,0,0,0,0,0,0,98,0,98,98
Guyana,0,0,0,0,227319,0,227319,227319,440,0,440,440,32282,0,32282,32282,38000,0,38000,38000,12092,0,12092,12092,2606,0,2606,2606,12170,0,12170,12170,306477,306477,0,-306477,10422,0,10422,10422,26586,0,26586,26586,255479,0,255479,255479,126688,0,126688,126688,2500,0,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,-29,97981,97431,550,-96881,16721,16721,0,-16721,140,0,140,140,108283,107811,472,-107339,938176,752117,186059,-566058,1713968,920258,793710,-126548,306223,250196,56027,-194169,58624,3661,54963,51302,515827,261290,254537,-6753,560088,560088,0,-560088,461298,13520,447778,434258,29050,157,28893,28736,124211,36735,87476,50741,167428,5000,162428,157428,5199,699,4500,3801
Haiti,76488,0,76488,76488,3550,0,3550,3550,0,0,0,0,0,0,0,0,986171,128648,857523,728875,634546,4200,630346,626146,4285678,258644,4027034,3768390,5161726,9900,5151826,5141926,2792090,1001,2791089,2790088,2820562,3225,2817337,2814112,2748920,563613,2185307,1621694,2194838,5821,2189017,2183196,278029,163904,114125,-49779,150153,0,150153,150153,147683,25577,122106,96529,58712,21550,37162,15612,114810,10266,104544,94278,65248,4394,60854,56460,218623,4152,214471,210319,217547,11600,205947,194347,444516,17865,426651,408786,350731,3094,347637,344543,67869,22083,45786,23703,164455,62140,102315,40175,309721,17631,292090,274459,161472,133867,27605,-106262,618457,359439,259018,-100421,584933,233,584700,584467,398803,161203,237600,76397,273550,999,272551,271552,270213,2517,267696,265179,301369,2563,298806,296243,50760,50560,200,-50360,1042224,12462,1029762,1017300,514534,12969,501565,488596,200633,3773,196860,193087
Heard And Mcdonald Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4705,0,4705,4705,806,0,806,806,0,0,0,0,14506,0,14506,14506,12586,12586,0,-12586,0,0,0,0,13297,2490,10807,8317,0,0,0,0,1046,0,1046,1046,77820,28787,49033,20246,10632,0,10632,10632,275622,77,275545,275468,0,0,0,0,74,74,0,-74,0,0,0,0,0,0,0,0
"Honduras, Republic of",6050,0,6050,6050,9060,0,9060,9060,236813,28350,208463,180113,393055,291392,101663,-189729,208891,156330,52561,-103769,282219,56637,225582,168945,282830,162091,120739,-41352,427388,126808,300580,173772,1336293,684200,652093,-32107,1493529,510930,982599,471669,2188805,930707,1258098,327391,2851795,167173,2684622,2517449,8047119,317250,7729869,7412619,6405958,45365,6360593,6315228,2638091,553680,2084411,1530731,1986386,164373,1822013,1657640,2451660,268709,2182951,1914242,1736857,132464,1604393,1471929,611444,98889,512555,413666,967220,96930,870290,773360,2213920,73142,2140778,2067636,1246273,343380,902893,559513,1886405,717682,1168723,451041,1685481,858546,826935,-31611,1023673,875698,147975,-727723,1137389,890972,246417,-644555,1259266,878581,380685,-497896,2467336,2094088,373248,-1720840,6082067,5510204,571863,-4938341,4041369,2209639,1831730,-377909,3840155,3098189,741966,-2356223,4172143,2909140,1263003,-1646137,6517384,3792578,2724806,-1067772,8886144,5995088,2891056,-3104032,5180352,1375593,3804759,2429166,4571387,2389860,2181527,-208333
"Hong Kong, China",987608764,595989258,391619506,-204369752,1184510403,720853391,463657012,-257196379,1425353266,877177896,548175370,-329002526,1763932753,1112527023,651405730,-461121293,2098673504,1274690704,823982800,-450707904,2228346974,1360112665,868234309,-491878356,2720169388,1548625596,1171543792,-377081804,2625618591,1299687789,1325930802,26243013,3173283574,1226166452,1947117122,720950670,3150001072,1242679945,1907321127,664641182,2914746833,1334963550,1579783283,244819733,3959930057,1601395146,2358534911,757139765,4715718028,1621818018,3093900010,1472081992,4884368005,1738759509,3145608496,1406848987,5269678620,1928979320,3340699300,1411719980,5801601016,2095595859,3706005157,1610409298,8022181249,2218658610,5803522639,3584864029,6945644708,1958155804,4987488904,3029333100,4670402315,1457093788,3213308527,1756214739,5805366167,1469677161,4335689006,2866011845,5211496843,1510036939,3701459904,2191422965,6241600734,1465656374,4775944360,3310287986,5839796332,1298323827,4541472505,3243148678,7172056163,1660327733,5511728430,3851400697,8231075893,1840145509,6390930384,4550784875,9108531159,2491834480,6616696679,4124862199,11739540597,2715396979,9024143618,6308746639,12610070129,3046114299,9563955830,6517841531,13223170360,3598272945,9624897415,6026624470,12009423262,2783555018,9225868244,6442313226,13200046214,3268290388,9931755826,6663465438,13466398930,3101964539,10364434391,7262469852,10854486721,2010755130,8843731591,6832976461,11649271435,2044008498,9605262937,7561254439,14222185699,1893608936,12328576763,10434967827,5147191367,631174168,4516017199,3884843031
Hungary,2799166,1583738,1215428,-368310,4083269,2044697,2038572,-6125,4144429,768585,3375844,2607259,6035400,1103216,4932184,3828968,10009810,3026614,6983196,3956582,12580097,4540779,8039318,3498539,31248668,2659051,28589617,25930566,57246273,2043396,55202877,53159481,104662665,1820863,102841802,101020939,72951331,7598584,65352747,57754163,79358054,24631599,54726455,30094856,99161022,20021362,79139660,59118298,68486421,26348951,42137470,15788519,112800516,13119710,99680806,86561096,153087175,7604942,145482233,137877291,114044808,11336837,102707971,91371134,87983138,9854379,78128759,68274380,115918119,9793178,106124941,96331763,67252946,12661481,54591465,41929984,152226269,23747363,128478906,104731543,173142958,6188333,166954625,160766292,156494834,13290484,143204350,129913866,174298167,10294996,164003171,153708175,158323187,13282952,145040235,131757283,198732318,11621718,187110600,175488882,180040628,16111383,163929245,147817862,196444758,19610058,176834700,157224642,213520973,23734071,189786902,166052831,205581849,19401218,186180631,166779413,128588266,18523879,110064387,91540508,175986392,21612901,154373491,132760590,187941642,25373168,162568474,137195306,173808700,35640079,138168621,102528542,125594202,31669553,93924649,62255096,176002610,68302413,107700197,39397784,48565518,20549120,28016398,7467278
Iceland,346730,2983,343747,340764,965981,624510,341471,-283039,101909,11211,90698,79487,277152,148199,128953,-19246,63180,0,63180,63180,605135,490373,114762,-375611,900428,632553,267875,-364678,516726,29477,487249,457772,605405,503539,101866,-401673,678952,62520,616432,553912,618380,102064,516316,414252,228647,28216,200431,172215,258618,137589,121029,-16560,331030,35119,295911,260792,23408,0,23408,23408,172510,119711,52799,-66912,559280,35338,523942,488604,84943,69122,15821,-53301,180172,80807,99365,18558,410158,53839,356319,302480,567527,52324,515203,462879,1098089,807201,290888,-516313,1871038,1790226,80812,-1709414,751860,701288,50572,-650716,314199,190944,123255,-67689,3779396,332330,3447066,3114736,613766,380355,233411,-146944,1611750,862448,749302,-113146,600801,178511,422290,243779,576356,252477,323879,71402,396609,173380,223229,49849,1143340,377522,765818,388296,2354375,554637,1799738,1245101,25007297,23281340,1725957,-21555383,2120877,509897,1610980,1101083,25002728,170822,24831906,24661084
India,84538867,67863429,16675438,-51187991,93475703,84880716,8594987,-76285729,335289373,109670779,225618594,115947815,143506504,130517883,12988621,-117529262,169389349,149161244,20228105,-128933139,255233599,218670913,36562686,-182108227,261961284,228182357,33778927,-194403430,179598842,142088490,37510352,-104578138,177160066,135620318,41539748,-94080570,230506896,166508319,63998577,-102509742,319387561,248241788,71145773,-177096015,517889898,428561717,89328181,-339233536,406144602,304291444,101853158,-202438286,372348034,282951620,89396414,-193555206,430417892,344297461,86120431,-258177030,519686769,399556250,120130519,-279425731,733852389,489880593,243971796,-245908797,811280403,617765048,193515355,-424249693,702512711,502213854,200298857,-301914997,951705437,541425123,410280314,-131144809,1055255557,666954226,388301331,-278652895,1005026967,678194796,326832171,-351362625,1010739058,712374550,298364508,-414010042,1278185095,978921209,299263886,-679657323,1446092016,1064463861,381628155,-682835706,1804890120,1482794334,322095786,-1160698548,2240601089,1664006542,576594547,-1087411995,2374122360,1775587427,598534933,-1177052494,2371624277,1826178816,545445461,-1280733355,2185627094,1631782928,553844166,-1077938762,2985224590,2249476047,735748543,-1513727504,2820408436,2101966449,718441987,-1383524462,3083912349,1980024078,1103888271,-876135807,3329636695,2232597708,1097038987,-1135558721,3552992211,2085095307,1467896904,-617198403,1214057352,769007663,445049689,-323957974
Indonesia,204170152,162226692,41943460,-120283232,221401289,181128720,40272569,-140856151,389418039,341158545,48259494,-292899051,438063121,366939912,71123209,-295816703,704565867,575440256,129125611,-446314645,788852214,646399510,142452704,-503946806,908710401,694687507,214022894,-480664613,703229939,592040891,111189048,-480851843,828261345,704853821,123407524,-581446297,876497331,693067804,183429527,-509638277,892405655,759830565,132575090,-627255475,969540800,764937706,204603094,-560334612,1124802078,829274226,295527852,-533746374,1311670104,936007597,375662507,-560345090,1479247775,1002781870,476465905,-526315965,1350604539,986581077,364023462,-622557615,1774151398,1249681515,524469883,-725211632,2067600447,1464887231,602713216,-862174015,2156247560,1773557196,382690364,-1390866832,2744149345,2294932158,449217187,-1845714971,3086381603,2459146460,627235143,-1831911317,3606177350,2766537802,839639548,-1926898254,3624257963,2789127445,835130518,-1953996927,3797232635,3037573837,759658798,-2277915039,3681097431,3030619283,650478148,-2380141135,5235271759,4607685672,627586087,-3980099585,7076376419,6352164176,724212243,-5627951933,7809038029,6927047489,881990540,-6045056949,7719337370,6890321142,829016228,-6061304914,6185930883,5727757311,458173572,-5269583739,9314143613,8446351803,867791810,-7578559993,13924057620,13196467026,727590594,-12468876432,12263713591,11514772242,748941349,-10765830893,11692369368,10640204142,1052165226,-9588038916,11140804193,10175107550,965696643,-9209410907,3694772363,3294476309,400296054,-2894180255
